Matemática
História da matemática
Áreas da matemática
Teoria dos números
Geometria
Álgebra
Cálculo infinitesimal
Análise matemática
Matemática discreta
Lógica matemática
Teoria dos conjuntos
Probabilidade
Estatística
Teoria da decisão
Química matemática
Matemática computacional
Biologia matemática e teórica
Linguística computacional
Economia matemática
Filosofia da matemática
Educação matemática
Física teórica
Grupo de simetria
Física de partículas
Termodinâmica
Mecânica quântica
Arnold Sommerfeld
Albert Einstein
Max Born
Niels Bohr
Hermann Weyl
Satyendra Nath Bose
Wolfgang Pauli
Werner Heisenberg
Paul Dirac
Eugene Wigner
John von Neumann
Sin-Itiro Tomonaga
Hideki Yukawa
Lev Landau
Nikolay Bogolyubov
Mark Kac
Julian Schwinger
Richard Feynman
Rudolf Haag
Freeman Dyson
Martin Gutzwiller
Abdus Salam
Jürgen Moser
Peter Higgs
Michael Atiyah
Joel Lebowitz
Roger Penrose
Sheldon Lee Glashow
Steven Weinberg
Ludvig Faddeev
David Ruelle
Yakov Sinai
Vladimir Arnold
Arthur Jaffe
Roman Jackiw
Leonard Susskind
Stephen Hawking
Alexander Markovich Polyakov
John Cardy
Edward Witten
Maria Göppert-Mayer
Associação Internacional de Física Matemática
Bibcode
ArXiv
Ciência
Matemática pura
Matemática aplicada
Engenharia matemática
Matemática financeira
Sociologia matemática
Teoria das probabilidades
Combinatória
Teoria dos grafos
Teoria da ordem
Teoria da computação
Complexidade computacional
Análise numérica
Otimização
Matemática simbólica
Fundamentos da matemática
Teoria das categorias
Teoria da informação
Álgebra abstrata
Álgebra comutativa
Álgebra linear
Álgebra multilinear
Álgebra universal
Álgebra homológica
Geometria algébrica
Geometria analítica
Geometria aritmética
Geometria diferencial
Aritmética
Teoria algébrica dos números
Teoria analítica dos números
Geometria diofantina
Topologia (matemática)
Topologia geral
Topologia algébrica
Topologia diferencial
Topologia geométrica
Teoria da homotopia
Matemático
História da Matemática
Física
Fenomenologia (física de partículas)
Física computacional
Física experimental
Física aplicada
Física clássica
Mecânica clássica
Mecânica de meios contínuos
Mecânica dos sólidos
Mecânica dos fluidos
Acústica
Eletromagnetismo
Eletrostática
Magnetostática
Plasma
Física de aceleradores
Mecânica estatística
Física da matéria condensada
Física mesoscópica
Matéria mole
Física do estado sólido
Física moderna
Eletrodinâmica quântica
Teoria quântica de campos
Gravitação quântica
Informação quântica
Mecânica relativista
Relatividade geral
Relatividade restrita
Astrofísica de partículas
Física nuclear
Cromodinâmica quântica
Física atômica
Física molecular
Ótica
Fotônica
Óptica quântica
Cosmologia física
Astrofísica
Astrofísica nuclear
Mecânica celeste
Física solar
Heliofísica
Física espacial
Agrofísica
Biofísica
Física médica
Neurofísica
Engenharia física
Geofísica
Meteorologia física
Físico-química
Física química
Computador quântico
Sociofísica
Econofísica
História da física
Nobel de Física
Teoria de tudo
Matemática industrial
Lógica computacional
Projeto de algoritmos
Análise de algoritmos
Teoria de códigos
Criptografia
Teoria computacional dos números
Geometria discreta
Grupo de renormalização
Integração funcional
Teoria-M
Análise de Fourier
Análise harmónica
Análise funcional
Teoria dos operadores
Teoria da aproximação
Equação diferencial
Sistema dinâmico
Teoria de controle
Cálculo de variações
Distribuição de probabilidade
Variável aleatória
Processo estocástico
Cálculo estocástico
Investigação operacional
Teoria dos jogos
Biologia teórica
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
