Academia Brasileira de Literatura
Julio María Sanguinetti
Uruguai
Associação Internacional de Lusitanistas
Itália
José Carlos de Vasconcelos
Vargas Llosa
Peru
Jean-Christophe Rufin
John Gledson
Reino Unido
Alemanha
Leslie Bethell
Inglaterra
Antonio Maura
Espanha
Israel
Guilherme d'Oliveira Martins
Arquivo Nacional (Brasil)
Fernando Jorge
Alfabetização
Censura
Era Vargas
Ditadura militar no Brasil (1964–1985)
Academia Brasileira de Belas Artes
Academia Brasileira de Ciências
Academia Brasileira de Literatura de Cordel
Academia Brasileira de Música
Academia Galega da Língua Portuguesa
Museu da Língua Portuguesa
Vocabulário Ortográfico da Língua Portuguesa
Wayback Machine
Lista de sócios-correspondentes da Academia Brasileira de Letras
Afonso d'Escragnolle Taunay
Ivan Monteiro de Barros Lins
Bernardo Élis
Evandro Lins e Silva
João Neves da Fontoura
Guimarães Rosa
Mário Palmério
Tarcísio Padilha
Roberto Simonsen
Aníbal Freire da Fonseca
Herberto Sales
Carlos Heitor Cony
Alcides Maia
Vianna Moog
Oswaldo Cruz
Aloísio de Castro
Cândido Mota Filho
José Murilo de Carvalho
Artur Silveira de Motta
Goulart de Andrade (escritor)
Barbosa Lima Sobrinho
Raimundo Faoro
Euclides da Cunha
Afonso Pena Júnior
Hermes Lima
Pontes de Miranda
Dinah Silveira de Queiroz
Sergio Corrêa da Costa
Nelson Pereira dos Santos
Oliveira Viana
Antônio Calado
Antônio Olinto
Cleonice Berardinelli
Carlos Magalhães de Azeredo
Marques Rebelo
Carlos Chagas Filho
Alberto da Costa e Silva
Laudelino Freire
Osvaldo Orico
Orígenes Lessa
Lêdo Ivo
Pedro Lessa
Eduardo Ramos
João Luís Alves
Adelmar Tavares
Deolindo Couto
Darcy Ribeiro
Celso Furtado
Hélio Jaguaribe
Urbano Duarte de Oliveira
Augusto de Lima (político)
Vítor Viana
José Carlos de Macedo Soares
Abgar Renault
Lucas Moreira Neves
Alfredo Bosi
Alfredo d'Escragnolle Taunay
Francisco de Castro (acadêmico)
José Isidoro Martins Júnior
Hélio Lobo
Augusto Meyer
Francisco de Assis Barbosa
Sérgio Paulo Rouanet
Antônio Carneiro Leão
Fernando de Azevedo
Miguel Reale
Amadeu Amaral
Guilherme de Almeida
Odilo Costa Filho
Marcos Barbosa
Fernando Bastos de Ávila
Félix Pacheco
Pedro Calmon
Lygia Fagundes Telles
Osório Duque-Estrada
Roquette-Pinto
Álvaro Lins
Antônio Houaiss
Affonso Arinos de Mello Franco
Francisco Inácio Marcondes Homem de Melo
Alberto Faria
Luís Carlos (poeta)
Peregrino Júnior
Silvério Gomes Pimenta
Gustavo Barroso
Antônio da Silva Melo
Américo Jacobina Lacombe
Marcos Almir Madeira
Emílio de Meneses
Humberto de Campos
Múcio Leão
Aurélio de Lira Tavares
Murilo Melo Filho
Mário de Alencar
Olegário Mariano
Álvaro Moreyra
Adonias Filho
Dias Gomes
Roberto Campos
Miguel Osório de Almeida
Luís Viana Filho
Ivo Pitanguy
Lafayette Rodrigues Pereira
Alfredo Pujol
Otávio Mangabeira
Jorge Amado
Zélia Gattai
Luiz Paulo Horta
Luís Guimarães Filho
Manuel Bandeira
Ciro dos Anjos
Sábato Magaldi
Franklin Dória
Artur Orlando da Silva
Ataulfo de Paiva
José Lins do Rego
Afonso Arinos de Melo Franco (sobrinho)
João do Rio
Constâncio Alves
Ribeiro Couto
Gilberto Amado
Mauro Mota
Dantas Barreto
Gregório da Fonseca
Otávio de Faria
Eduardo Portella
Antonio Cicero
Xavier Marques
Menotti Del Picchia
Oscar Dias Correia
Vicente de Carvalho
Cláudio de Sousa
Josué Montello
José Mindlin
Heráclito Graça
Antônio Austregésilo
Aurélio Buarque de Holanda
Nélida Piñon
Guimarães Júnior
Paulo Setúbal
Cassiano Ricardo
José Cândido de Carvalho
Geraldo França de Lima
Moacyr Scliar
Ramiz Galvão
Viriato Correia
Joracy Camargo
Genolino Amado
Ariano Suassuna
Fernando Magalhães
Luís Edmundo
Afrânio Coutinho
João Manuel Pereira da Silva
José Maria da Silva Paranhos Júnior
Lauro Müller
Francisco de Aquino Correia
Raimundo Magalhães Júnior
Carlos Castelo Branco
João Ubaldo Ribeiro
Rodrigo Otávio Filho
José Honório Rodrigues
Celso Cunha
Cândido Mendes de Almeida (escritor)
Afonso Celso (poeta)
Clementino Fraga
Paulo Carneiro
José Guilherme Merquior
João de Scantimburgo
José de Alcântara Machado
Getúlio Vargas
Assis Chateaubriand
João Cabral de Melo Neto
Ivan Junqueira
Ferreira Gullar
Santos Dumont
Celso Vieira de Matos Melo Pereira
Maurício de Medeiros
José Américo de Almeida
Alberto de Faria
Rocha Pombo
Rodolfo Garcia
Elmano Cardim
Otto Lara Resende
Roberto Marinho
Marco Maciel
Afonso Arinos de Melo Franco
Miguel Couto
Alceu Amoroso Lima
Evaristo de Moraes Filho
Autódromo de Deodoro
Autódromo de Jacarepaguá
Centro Esportivo Miécimo da Silva
Estádio Jornalista Mário Filho
Estádio Olímpico Nilton Santos
Estádio de Remo da Lagoa
Estádio Vasco da Gama
Hipódromo da Gávea
Jockey Club Brasileiro
Iate Clube do Rio de Janeiro
Maracanãzinho
Marapendi Country Club
Marina da Glória
Parque Olímpico do Rio de Janeiro
105 Lélio Gama St.
Aqueduto da Carioca
Casa da Moeda do Brasil
Centro Empresarial Mourisco
Confeitaria Colombo
Copacabana Palace
Edifício Avenida Central
Edifício Francisco Serrador
Edifício Hilton Santos
Banco Nacional de Desenvolvimento Econômico e Social
Bolsa de Valores do Rio de Janeiro
Petrobras
Forte de Copacabana
Hangar do Zeppelin
Monumento Nacional aos Mortos da Segunda Guerra Mundial
Paço Imperial
Palácio do Catete
Palácio Guanabara
Palácio do Itamaraty
Palácio das Laranjeiras
Palácio Tiradentes
Panteão de Caxias
Ponte do Guandu
Rio Sul Center
Sambódromo da Marquês de Sapucaí
Anima Mundi
Carnaval do Rio de Janeiro
Fashion Rio
Festival Brasil de Cinema Internacional
Festival do Rio
Grande Prêmio Brasil
Grande Prêmio Cruzeiro do Sul
Jogos Pan-Americanos de 2007
Jogos Mundiais Militares de 2011
Jornada Mundial da Juventude de 2013
Copa do Mundo FIFA de 2014
Jogos Olímpicos de Verão de 2016
Jogos Paralímpicos de Verão de 2016
Mostra do Filme Livre
Prêmio Multishow de Música Brasileira
Rock in Rio
Réveillon de Copacabana
TIM Festival
Baía de Guanabara
Bonde de Santa Teresa
Bondinho do Pão de Açúcar
Corcovado
Cristo Redentor
Morro Dois Irmãos (Rio de Janeiro)
Parque Nacional da Tijuca
Ilha de Paquetá
Lagoa Rodrigo de Freitas
Monumento Natural dos Morros do Pão de Açúcar e da Urca
Pedra da Gávea
Centro de Pesquisas Leopoldo Américo Miguez de Mello
Centro Brasileiro de Pesquisas Físicas
Comissão de Valores Mobiliários
Fundação Oswaldo Cruz
Instituto Brasileiro de Economia
Instituto Brasileiro de Geografia e Estatística
Instituto Histórico e Geográfico Brasileiro
Instituto de Matemática Pura e Aplicada
"Instituto Nacional de Metrologia, Qualidade e Tecnologia"
Autoestrada Lagoa-Barra
Avenida Armando Lombardi
Avenida Atlântica
Avenida Ayrton Senna (Rio de Janeiro)
Avenida Brasil (Rio de Janeiro)
Avenida das Américas
Avenida Delfim Moreira
Avenida Dom Hélder Câmara
Avenida Francisco Bicalho
Avenida Geremário Dantas
Avenida Lúcio Costa
Avenida Maracanã
Avenida Marechal Floriano
Avenida Marechal Rondon
Avenida Ministro Edgar Romero
Avenida Niemeyer
Avenida Nossa Senhora de Copacabana
Avenida Presidente Vargas
Avenida Princesa Isabel
Avenida Rei Pelé
Avenida Rio Branco (Rio de Janeiro)
Avenida Rodrigues Alves
Avenida Vieira Souto
Grajaú-Jacarepaguá
Linha Amarela (Rio de Janeiro)
Linha Vermelha (Rio de Janeiro)
Via Binário do Porto
Biblioteca Parque Estadual
Biblioteca Nacional do Brasil
Canecão
Casa França-Brasil
Casa Museu Eva Klabin
Centro Cultural Banco do Brasil (Rio de Janeiro)
Centro Cultural Correios (Rio de Janeiro)
Centro Cultural Light
Ecomuseu de Santa Cruz
Centro Luiz Gonzaga de Tradições Nordestinas
Museu Naval (Rio de Janeiro)
Lista de museus e centros culturais do Rio de Janeiro
Aterro do Flamengo
Bosque da Barra
Campo de Santana (Rio de Janeiro)
Jardim Botânico do Rio de Janeiro
Jardim Zoológico do Rio de Janeiro
Parque da Cidade (Rio de Janeiro)
Parque Ecológico Chico Mendes
Parque Eduardo Guinle
Parque Estadual da Chacrinha
Reserva Florestal do Grajaú
Parque Estadual da Pedra Branca
Parque Lage
Parque Madureira Mestre Monarco
Passeio Público (Rio de Janeiro)
Quinta da Boa Vista
Parque Natural Municipal de Marapendi
Catedral de São Sebastião do Rio de Janeiro
Igreja Batista Atitude
Templo da Glória do Novo Israel
Igreja de Nossa Senhora da Apresentação
Igreja Nossa Senhora do Brasil (Rio de Janeiro)
Igreja de Nossa Senhora da Candelária
Igreja de Nossa Senhora da Glória do Outeiro
Igreja de Nossa Senhora do Carmo da Antiga Sé
Igreja de Nossa Senhora do Carmo da Lapa do Desterro
Igreja da Ordem Terceira do Carmo (Rio de Janeiro)
Igreja da Ordem Terceira de São Francisco da Penitência
Convento de Santo Antônio (Rio de Janeiro)
Igreja de Nossa Senhora da Penha (Rio de Janeiro)
Igreja de Nossa Senhora da Lapa dos Mercadores
Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro)
Igreja de Santa Luzia (Rio de Janeiro)
Igreja de Santa Rita de Cássia (Rio de Janeiro)
Igreja de São Francisco de Paula (Rio de Janeiro)
Igreja do Santíssimo Sacramento da Antiga Sé
Mosteiro de São Bento (Rio de Janeiro)
Primeira Igreja Batista do Rio de Janeiro
Igreja Presbiteriana do Rio de Janeiro
Igreja Metodista do Catete
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da República Argentina
Biblioteca Nacional da França
CiNii
Encyclopædia Britannica
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Biblioteca Nacional de Portugal
