Fortaleza
Cronologia da Primeira República Brasileira
Ruy Barbosa
Campos Sales
Henrique Pereira de Lucena
Antônio Luís Afonso de Carvalho
Antão Gonçalves de Faria
Rodrigues Alves
Serzedelo Correia
Felisbelo Firmo de Oliveira Freire
Alexandre Cassiano do Nascimento
Antônio Gonçalves Ferreira
Alberto Torres
Bernardino de Campos (político)
Amaro Cavalcanti
Epitácio Pessoa
Sabino Barroso
J. J. Seabra
Félix Gaspar
Augusto Tavares de Lira
Esmeraldino Bandeira
Rivadávia Correia
Herculano de Freitas
Carlos Maximiliano
Urbano Santos (político)
Alfredo Pinto
Joaquim Ferreira Chaves
João Luís Alves
Aníbal Freire da Fonseca
Afonso Pena Júnior
Augusto Viana do Castelo
Cronologia da Segunda República Brasileira
Gabriel Loureiro Bernardes
Afrânio de Melo Franco
Osvaldo Aranha
Maurício Cardoso
Francisco Campos
Francisco Antunes Maciel Júnior
Vicente Rao
Agamenon Magalhães
José Carlos de Macedo Soares
Estado Novo (Brasil)
Cronologia da Terceira República Brasileira
Marcondes Filho
Fernando Antunes
Antônio de Sampaio Dória
Período Populista
Cronologia da Quarta República Brasileira
Carlos Luz
Benedito Costa Neto
Adroaldo Costa
Honório Fernandes Monteiro
Adroaldo Tourinho Junqueira Aires
José Francisco Bias Fortes
Negrão de Lima
Tancredo Neves
Miguel Seabra Fagundes
Prado Kelly
Francisco de Menezes Pimentel
Nereu Ramos
Eurico Sales
Cirilo Júnior
Armando Falcão
Oscar Pedroso Horta
José Martins Rodrigues
Alfredo Nasser
João Mangabeira
Carlos Molinari Cairoli
Abelardo Jurema
Ditadura militar brasileira
Cronologia da ditadura militar brasileira
Luís Antônio da Gama e Silva
Milton Campos
Luís Viana Filho
Juracy Magalhães
Mem de Azambuja Sá
Carlos Medeiros
Alfredo Buzaid
Petrônio Portella
Golbery do Couto e Silva
Ibrahim Abi-Ackel
Nova República
Cronologia da Sexta República Brasileira
Fernando Lyra
Paulo Brossard
Oscar Dias Correia
Saulo Ramos
Bernardo Cabral
Jarbas Passarinho
Célio Borja
Maurício Corrêa
Alexandre de Paula Dupeyrat Martins
Nelson Jobim
Milton Seligman
Iris Rezende
José de Jesus Filho
Renan Calheiros
José Carlos Dias
José Gregori
Aloysio Nunes
Miguel Reale Júnior
Paulo de Tarso Ramos Ribeiro
Márcio Thomaz Bastos
Tarso Genro
Luiz Paulo Barreto
José Eduardo Cardozo
Wellington César Lima e Silva
Eugênio Aragão
Alexandre de Moraes
José Levi
Osmar Serraglio
Torquato Jardim
Sergio Moro
André Mendonça
Anderson Torres
Flávio Dino
Ricardo Lewandowski
Lista de presidentes da Academia Brasileira de Letras
Lista de sócios-correspondentes da Academia Brasileira de Letras
Luís Murat
Afonso d'Escragnolle Taunay
Ivan Monteiro de Barros Lins
Bernardo Élis
Evandro Lins e Silva
Ana Maria Machado
Álvares de Azevedo
Coelho Neto
João Neves da Fontoura
Guimarães Rosa
Mário Palmério
Tarcísio Padilha
Eduardo Giannetti
Artur de Oliveira
Filinto de Almeida
Roberto Simonsen
Herberto Sales
Carlos Heitor Cony
Joaquim Falcão
Basílio da Gama
Aluísio Azevedo
Alcides Maia
Vianna Moog
Carlos Nejar
Bernardo Guimarães
Raimundo Correia
Oswaldo Cruz
Aloísio de Castro
Cândido Mota Filho
Rachel de Queiroz
José Murilo de Carvalho
Ailton Krenak
Casimiro de Abreu
Teixeira de Melo
Artur Silveira de Motta
Goulart de Andrade (escritor)
Barbosa Lima Sobrinho
Raimundo Faoro
Cícero Sandroni
Castro Alves
Valentim Magalhães
Euclides da Cunha
Hermes Lima
Pontes de Miranda
Dinah Silveira de Queiroz
Sergio Corrêa da Costa
Nelson Pereira dos Santos
Cacá Diegues
Cláudio Manuel da Costa
Alberto de Oliveira
Oliveira Viana
Austregésilo de Athayde
Antônio Calado
Antônio Olinto
Cleonice Berardinelli
Ricardo Cavaliere
Gonçalves de Magalhães
Carlos Magalhães de Azeredo
Marques Rebelo
Carlos Chagas Filho
Alberto da Costa e Silva
Lilia Schwarcz
Evaristo da Veiga
Laudelino Freire
Osvaldo Orico
Orígenes Lessa
Lêdo Ivo
Rosiska Darcy
Fagundes Varella
Lúcio de Mendonça
Pedro Lessa
Eduardo Ramos
Adelmar Tavares
Deolindo Couto
Darcy Ribeiro
Celso Furtado
Hélio Jaguaribe
Ignácio de Loyola Brandão
França Júnior
Urbano Duarte de Oliveira
Augusto de Lima (político)
Vítor Viana
Abgar Renault
Lucas Moreira Neves
Alfredo Bosi
Paulo Niemeyer Soares Filho
Francisco Otaviano
Alfredo d'Escragnolle Taunay
Francisco de Castro (acadêmico)
José Isidoro Martins Júnior
João Carneiro de Sousa Bandeira
Hélio Lobo
Augusto Meyer
Francisco de Assis Barbosa
Sérgio Paulo Rouanet
Ruy Castro
Franklin Távora
Clóvis Beviláqua
Antônio Carneiro Leão
Fernando de Azevedo
Miguel Reale
Celso Lafer
Gonçalves Dias
Olavo Bilac
Amadeu Amaral
Guilherme de Almeida
Odilo Costa Filho
Marcos Barbosa
Fernando Bastos de Ávila
Marco Lucchesi
Gregório de Matos
Araripe Júnior
Félix Pacheco
Pedro Calmon
Lygia Fagundes Telles
Jorge Caldeira
Hipólito da Costa
Sílvio Romero
Osório Duque-Estrada
Roquette-Pinto
Álvaro Lins
Antônio Houaiss
Affonso Arinos de Mello Franco
Fernanda Montenegro
João Francisco Lisboa
José Veríssimo
Francisco Inácio Marcondes Homem de Melo
Alberto Faria
Luís Carlos (poeta)
Pereira da Silva (poeta)
Peregrino Júnior
Arnaldo Niskier
Joaquim Caetano
Alcindo Guanabara
Silvério Gomes Pimenta
Gustavo Barroso
Antônio da Silva Melo
Américo Jacobina Lacombe
Marcos Almir Madeira
Antônio Carlos Secchin
Joaquim Manuel de Macedo
Salvador de Mendonça
Emílio de Meneses
Humberto de Campos
Múcio Leão
Aurélio de Lira Tavares
Murilo Melo Filho
Gilberto Gil
Joaquim Serra
José do Patrocínio
Olegário Mariano
Álvaro Moreyra
Adonias Filho
Dias Gomes
Roberto Campos
Paulo Coelho
"José Bonifácio, o Moço"
Medeiros e Albuquerque
Miguel Osório de Almeida
Ivo Pitanguy
João Almino
Alfredo Pujol
Otávio Mangabeira
Jorge Amado
Zélia Gattai
Luiz Paulo Horta
Antônio Torres
Júlio Ribeiro
Garcia Redondo
Luís Guimarães Filho
Manuel Bandeira
Ciro dos Anjos
Sábato Magaldi
Geraldo Carneiro
Junqueira Freire
Franklin Dória
Artur Orlando da Silva
Ataulfo de Paiva
José Lins do Rego
Afonso Arinos de Melo Franco (sobrinho)
Alberto Venancio Filho
Laurindo Rabelo
Guimarães Passos
João do Rio
Constâncio Alves
Ribeiro Couto
Gilberto Amado
Mauro Mota
Marcos Vilaça
Maciel Monteiro
Joaquim Nabuco
Dantas Barreto
Gregório da Fonseca
Levi Carneiro
Otávio de Faria
Eduardo Portella
Antonio Cicero
Edgard Telles Ribeiro
Manuel Antônio de Almeida
Inglês de Sousa
Xavier Marques
Menotti Del Picchia
Domício Proença Filho
Martins Pena
Artur Azevedo
Vicente de Carvalho
Cláudio de Sousa
José Mindlin
Geraldo Holanda Cavalcanti
Pardal Mallet
Pedro Rabelo
Heráclito Graça
Antônio Austregésilo
Aurélio Buarque de Holanda
Nélida Piñon
Heloísa Teixeira
Pedro Luís Pereira de Sousa
Guimarães Júnior
João Ribeiro (escritor)
Paulo Setúbal
Cassiano Ricardo
José Cândido de Carvalho
Geraldo França de Lima
Moacyr Scliar
Merval Pereira
Manuel de Araújo Porto-Alegre
Carlos de Laet
Ramiz Galvão
Viriato Correia
Joracy Camargo
Genolino Amado
Ariano Suassuna
Zuenir Ventura
Raul Pompeia
Domício da Gama
Fernando Magalhães
Luís Edmundo
Afrânio Coutinho
Evanildo Bechara
Sousa Caldas
João Manuel Pereira da Silva
José Maria da Silva Paranhos Júnior
Lauro Müller
Francisco de Aquino Correia
Raimundo Magalhães Júnior
Carlos Castelo Branco
João Ubaldo Ribeiro
Evaldo Cabral de Mello
Aureliano Tavares Bastos
Rodrigo Otávio
Rodrigo Otávio Filho
José Honório Rodrigues
Celso Cunha
Cândido Mendes de Almeida (escritor)
Godofredo de Oliveira Neto
Teófilo Dias
Afonso Celso (poeta)
Clementino Fraga
Paulo Carneiro
José Guilherme Merquior
João de Scantimburgo
Fernando Henrique Cardoso
Tomás António Gonzaga
Silva Ramos
José de Alcântara Machado
Getúlio Vargas
Assis Chateaubriand
João Cabral de Melo Neto
Ivan Junqueira
Ferreira Gullar
Arno Wehling
Tobias Barreto
Graça Aranha
Santos Dumont
Celso Vieira de Matos Melo Pereira
Maurício de Medeiros
José Américo de Almeida
José Sarney
Francisco Adolfo de Varnhagen
Oliveira Lima
Alberto de Faria
Rocha Pombo
Rodolfo Garcia
Elmano Cardim
Otto Lara Resende
Roberto Marinho
Marco Maciel
José Paulo Cavalcanti Filho
José Maria da Silva Paranhos
Eduardo Prado
Afonso Arinos de Melo Franco
Miguel Couto
Alceu Amoroso Lima
Evaristo de Moraes Filho
Edmar Bacha
Romantismo na Alemanha
Romantismo na Escócia
Romantismo em Portugal
Boémia (estilo de vida)
Herói byroniano
Contrailuminismo
Escola do Rio Hudson
Gesamtkunstwerk
Indianismo
Literatura gótica
Nacionalismo romântico
Nazarenos (arte)
Neogótico
Ossian
Romantismo sombrio
Transcendentalismo
Ultrarromantismo
Lista de artistas do Romantismo
Khachatur Abovian
Vittorio Alfieri
Hans Christian Andersen
Bettina von Arnim
Jane Austen
Nicolau Baratashvili
Ievgueni Baratynski
Anna Laetitia Barbauld
Charles Baudelaire
William Blake
Hristo Botev
Clemens Brentano
William Cullen Bryant
Robert Burns
Camilo Castelo Branco
António Feliciano de Castilho
Jacques Cazotte
François-René de Chateaubriand
John Clare
Samuel Taylor Coleridge
James Fenimore Cooper
Thomas de Quincey
Alexandre Dumas
Joseph Freiherr von Eichendorff
Ralph Waldo Emerson
Mihai Eminescu
José de Espronceda
Ugo Foscolo
Almeida Garrett
Théophile Gautier
Johann Wolfgang von Goethe
Nathaniel Hawthorne
Heinrich Heine
Alexandre Herculano
E. T. A. Hoffmann
Friedrich Hölderlin
Washington Irving
Jean Paul
John Keats
Heinrich von Kleist
Alphonse de Lamartine
Mariano José de Larra
Giacomo Leopardi
Mikhail Lérmontov
James Russell Lowell
Alexandru Macedonski
Antoni Malczewski
Alessandro Manzoni
Prosper Mérimée
Adam Mickiewicz
Alfred de Musset
Mikael Nalbandian
Gérard de Nerval
Charles Nodier
Cyprian Norwid
Novalis
Adam Gottlob Oehlenschläger
Edgar Allan Poe
John William Polidori
Jan Potocki
France Prešeren
Alexandre Pushkin
Friedrich Schiller
Gustav Schwab
Walter Scott
Mary Shelley
P. B. Shelley
Taras Shevchenko
Juliusz Słowacki
Germaine de Staël
Stendhal
Ludwig Tieck
Ludwig Uhland
Mihály Vörösmarty
William Wordsworth
Vasily Zhukovsky
José Zorrilla y Moral
Ludwig Feuerbach
Johann Gottlieb Fichte
Georg Wilhelm Friedrich Hegel
Aleksei Khomiakov
Jean-Jacques Rousseau
August Wilhelm Schlegel
Friedrich Schlegel
Friedrich Schleiermacher
Música do romantismo
Adolphe Charles Adam
Charles-Valentin Alkan
Daniel François Esprit Auber
Ludwig van Beethoven
Vincenzo Bellini
William Sterndale Bennett
Hector Berlioz
Louise Bertin
Franz Berwald
Johannes Brahms
Anton Bruckner
Luigi Cherubini
Frédéric Chopin
Gaetano Donizetti
Gabriel Fauré
John Field
César Franck
Mikhail Glinka
Jacques Fromental Halévy
Friedrich Kalkbrenner
Franz Liszt
Carl Loewe
Heinrich Marschner
Étienne Méhul
Fanny Mendelssohn
Felix Mendelssohn Bartholdy
Giacomo Meyerbeer
Stanisław Moniuszko
Ignaz Moscheles
Modest Mussorgsky
Niccolò Paganini
Anton Reicha
Nikolai Rimsky-Korsakov
Gioachino Rossini
Anton Rubinstein
Franz Schubert
Clara Schumann
Robert Schumann
Bedřich Smetana
Fernando Sor
Louis Spohr
Gaspare Spontini
Sigismond Thalberg
Giuseppe Verdi
Richard Wagner
Carl Maria von Weber
Pintura do romantismo
Ivan Konstantinovich Aivazóvski
Albert Bierstadt
Richard Parkes Bonington
Théodore Chassériau
Frederic Edwin Church
John Constable
Thomas Cole
Jean-Baptiste Camille Corot
Pierre Jean David
Eugène Delacroix
Caspar David Friedrich
Johann Heinrich Füssli
Théodore Géricault
Anne-Louis Girodet
Francisco de Goya
Hans Gude
Francesco Hayez
Emanuel Leutze
Samuel Palmer
Fleury François Richard
François Rude
Philipp Otto Runge
Ary Scheffer
William Turner
Philipp Veit
Antoine Wiertz
A Viuvinha
As Minas de Prata
O Gaúcho
A Pata da Gazela
O Tronco do Ipê
Sonhos d'Ouro
Til (romance)
Guerra dos Mascates (livro)
Senhora (romance)
O Sertanejo
Encarnação (romance)
Escabiosa/Sensitiva
Cartas sobre a confederação dos Tamoios
Ao Povo: Cartas Políticas de Erasmo
O Tronco do Ipê (1963)
O Tronco do Ipê (1982)
Senhora (telenovela)
O Preço de um Homem
As Minas de Prata (telenovela)
A Padroeira
Essas Mulheres
O Guarani (1979)
O Guarani (1996)
Iracema (1917)
Iracema (1949)
"Iracema, a Virgem dos Lábios de Mel"
"Lucíola, o Anjo Pecador"
A Lenda de Ubirajara
Onde a Terra Acaba
Senhora (1955)
Senhora (1976)
Como e Por Que Sou Romancista
Base Virtual Internacional de Autoridade
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Projeto Gutenberg
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
LibriVox
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
WikiTree
Biblioteca Nacional do Brasil
Câmara dos Deputados do Brasil
Itaú Cultural
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
IMDb
Open Library
Biblioteca Nacional de Israel
Universidade Pontifícia de Salamanca
