Era Vargas
Insurreição anarquista de 1918
Revolução de 1923
Revolta do Quebra-Milho
Revolta de Jacareacanga
Revolta de Aragarças
Revolta dos Sargentos
Massacre de Ipatinga
Revolta dos Marinheiros de 1964
Intervenção federal em Goiás em 1964
Guerrilha de Três Passos
Guerrilha do Caparaó
Guerrilha do Araguaia
Revolta dos Perdidos
Atos de violência organizada no Brasil em 2006
Atos de violência organizada no Rio de Janeiro em 2010
Crise da segurança pública no Espírito Santo em 2017
Crise de segurança pública no Ceará em 2020
Ataques de 8 de janeiro em Brasília
Revolução
Revolução neolítica
Revolução Comercial
Johannes Gutenberg
Revolução dos preços
Revolução Científica
Revolução Gloriosa
Guerra Civil Inglesa
Restauração da Independência
Revolução Americana
Revoluções do Atlântico
Revolução Francesa
Revolução Haitiana
Revolução Industrial
Revolução Belga
Comuna de Paris
Independência da América Espanhola
Revoluções de 1820
Revoluções de 1830
Revoluções de 1848
Revolução de 1868
Revolução de Cádis
Revolução de Maio
Guerra de independência da Grécia
Revolução liberal do Porto
Restauração Meiji
Monarquia de Julho
Revolução Oriental
Triênio liberal
Revolução Bolivariana
Revolução Boliviana de 1952
Revolução Cantada
Revolução Chinesa
Revolução Constitucional Persa
Revolução Cubana
Revolução Cultural Chinesa
Contracultura
Revolução Nacional da Indonésia
Dissolução da União Soviética
Revoluções de 1905-1911
Revoluções de 1917–1923
Revoluções de 1989
Revolução de Agosto
Revolução de Fevereiro
Revolução de Veludo
Revolução de Zanzibar
Revolução Democrática da Mongólia
Revolução digital
Divisão da Coreia
Revolução de 25 de Abril de 1974
Revolução dos Jovens Turcos
Revolução Egípcia de 1952
Revolução Espanhola
Feminismo
Revolução do Poder Popular
Revolução Guatemalteca
Guerra Civil do Camboja
Revolução Húngara de 1956
Revolução Iraniana
Revolução de 14 de Julho
Kampuchea Democrático
Liga Espartaquista
Maio de 1968
Revolução Mexicana
Golpe de Estado de 28 de Maio de 1926
Invasão da República Dominicana pelos Estados Unidos em 1965
Protestos de 1968
República de Weimar
Implantação da República Portuguesa
Revolução Romena de 1989
Revolução Russa de 1905
Revolução Russa de 1917
Revolução Sandinista
Revolução Siamesa de 1932
Revolução Tranquila
Revolução Ucraniana
Revolução verde
Revolução Xinhai
Protestos antigovernamentais de 2007 em Myanmar
Queda do regime de Slobodan Milošević
Revolução das Tulipas
Revolução Arménia em 2018
Revolução dos Cedros
Revolução Laranja
Primavera Árabe
Revolução Rosa
Revolução Roxa
Protestos em Quixinau em 2009
Protestos eleitorais no Irã em 2009
Lutas e revoluções no Brasil
Revolução Pernambucana
Revolução Praieira
Revoltas liberais de 1842
História militar de Portugal
Crise dinástica de 1383–1385
Lista de revoluções
História do estado de São Paulo
A botada dos padres fora
Aclamação de Amador Bueno
Calçada do Lorena
Caminhos do mar de São Paulo
Caminho do Padre José de Anchieta
Caminho do Peabiru
Capitania de Itanhaém
Casa de Taipa
Feira de muares de Sorocaba
Inhapuambuçu
Legião de Tropas Ligeiras de São Paulo
Pátio do Colégio
Paz de Iperoig
Santo André da Borda do Campo
São Paulo dos Campos de Piratininga
Solar dos Andradas
Casa Caetano de Campos
Casa Lebre
Chácara Baruel
Chácara do Carvalho
Comarca de Curitiba e Paranaguá
Congresso Republicano em São Paulo
Convenção de Itu
Cronologia das estradas de ferro em São Paulo (estado)
Escola Paulística
Guarda Municipal Permanente
Instituto Histórico e Geográfico de São Paulo
Província de São Paulo
Província do Rio Sapucaí
Residências da Família Ramos de Azevedo
São Bernardo (1889-1938)
Armazéns da antiga São Paulo Railway
Chapa Única por São Paulo Unido
Convênio de Taubaté
Edifícios industriais da Rua Borges de Figueiredo
Educandário Sagrada Família
Escola Estadual Campos Salles
Estação de Engenheiro Schmitt
Federação dos Voluntários de São Paulo
Frente Única Paulista
Genealogia Paulistana
Liga Confederacionista
Liga de Defesa Paulista
O Pirralho
Quatrocentão
Entradas e Bandeiras
Guerra de Iguape
Revolta do Sal
Revolta Paulista em 1683
Fazenda Anhumas
Fazenda Atibaia
Fazenda Bom Retiro
Fazenda Cabras
Fazenda de Sant' Ana
Fazenda Dois Córregos
Fazenda Fazendinha
Fazenda Ibicaba
Fazenda Ipanema
Fazenda Jaguari
Fazenda Jambeiro
Fazenda Lapa
Fazenda Laranjal
Fazenda Mato Dentro
Fazenda Pau d'Alho (Campinas)
Fazenda Recreio
Fazenda Santa Clara (Campinas)
Fazenda Sertão
Fazenda Sete Quedas
Fazenda Soledade
Fazenda Vila Brandina
Número de controle da Biblioteca do Congresso
