Dominica
San Felipe de Puerto Plata
Puerto Plata (província)
Higüey
La Altagracia
Bajos de Haina
San Cristóbal (província)
Santo Domingo Oeste
Baní
Peravia
Los Alcarrizos
La Romana (cidade)
La Romana (província)
Concepción de la Vega
La Vega (província)
Bonao
Monseñor Nouel
San Cristóbal (República Dominicana)
San Juan de la Maguana
San Juan (República Dominicana)
San Pedro de Macorís
San Pedro de Macorís (província)
Villa Hermosa
Palácio Nacional (República Dominicana)
Poder executivo
Poder Legislativo
Poder Judiciário
Presidente
Governo
Forças Armadas
Sufrágio direto
Bicameralismo
Organização Internacional da Francofonia
"Tratado de Livre-Comércio entre Estados Unidos, América Central e República Dominicana"
Subdivisões da República Dominicana
Província
Município
Cidade
Vila
Povoado
Economia da República Dominicana
Turismo na República Dominicana
Exportação
Departamento de Estado dos Estados Unidos
Banco Mundial
País em desenvolvimento
Hemisfério Ocidental
Mamão
Abacate
Cacau
Cana-de-açúcar
Banana
Arroz
Óleo de palma
Abacaxi
Coco
Manga (fruta)
Tabaco
Charuto
Rum
Açúcar
Níquel
Ouro
Prata
Cerveja
Turismo
Commodities
Café
Manufatura
Comércio
Desigualdade de renda
Trabalho infantil
Tomate
Trabalho forçado
Departamento de Trabalho dos Estados Unidos
Educação primária
Pré-escolar
Educação básica
Ensino obrigatório
Ensino superior
Taxa de natalidade
Taxa de mortalidade
HIV
AIDS
Dengue
Endêmica
Malária
Vírus Zika
Aborto
Estupro
Incesto
Cultura da República Dominicana
Europa
África
Classe social
Educação
Riqueza
Pobreza
Catolicismo
Música popular
Beisebol
Major League Baseball
Pedro Martínez
Vladimir Guerrero
World Baseball Classic
Francisco Garcia
National Basketball Association
Boxe
Carlos Cruz
1 de janeiro
Ano Novo
6 de janeiro
Epifania
21 de janeiro
26 de janeiro
27 de fevereiro
1 de maio
Dia do Trabalho
16 de agosto
24 de setembro
6 de novembro
25 de dezembro
Lista de Estados soberanos e territórios dependentes da América
Missões diplomáticas da República Dominicana
Fundo Monetário Internacional
Central Intelligence Agency
International Standard Book Number
Encyclopædia Britannica
Bibcode
International Standard Serial Number
PubMed Central
PubMed Identifier
Digital object identifier
World Bank
United States Department of State
Hino nacional da República Dominicana
Demografia da República Dominicana
Política da República Dominicana
Soberania
Belize
Costa Rica
El Salvador
Guatemala
Honduras
Nicarágua
Panamá
América Central Insular
Arquipélago das Lucaias
Jamaica
Pequenas Antilhas
Antígua e Barbuda
Barbados
Granada (país)
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Trindade e Tobago
Estados
Colômbia
"Santo André, Providência e Santa Catarina"
Guadalupe
Martinica
Países Baixos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Venezuela
Nova Esparta
Dependências Federais da Venezuela
Território
Ilhas Virgens Americanas
Ilha de Navassa
São Bartolomeu (coletividade)
São Martinho (França)
Aruba
Curaçau
São Martinho (Países Baixos)
Anguila
Monserrate (ilha)
Ilhas Cayman
Ilhas Virgens Britânicas
Organização dos Estados Americanos
Argentina
Bolívia
Brasil
Canadá
Chile
Equador
Guiana
México
Paraguai
Peru
Suriname
Uruguai
Bandeira da Organização dos Estados Americanos
Carta da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Sistema Interamericano de Proteção aos Direitos Humanos
Convenção Americana sobre Direitos Humanos
Comissão Interamericana de Direitos Humanos
Corte Interamericana de Direitos Humanos
Instituto Interamericano da Criança
Cúpula das Américas
Banco Interamericano de Desenvolvimento
Capital Americana da Cultura
Pan-americanismo
Conferência Ibero-americana
Andorra
Portugal
Cabo Verde
Filipinas
Guiné Equatorial
Moçambique
Timor-Leste
Secretaria-Geral Ibero-Americana
Secretaria de Cooperação Ibero-americana
Associação de Bibliotecas Nacionais Ibero-americanas
Conferência de Autoridades Audiovisuais e Cinematográficas Iberoamericanas
Comunidade Ibero-americana de Nações
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
União de Cidades Capitais Ibero-americanas
Ibero-América
Dinastia Filipina
Organização dos Estados do Caribe Oriental
Suprema Corte do Caribe Oriental
Banco Central do Caribe Oriental
Dólar do Caribe Oriental
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
CiNii
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
