Coordenadas geográficas
Instituto Brasileiro de Geografia e Estatística
Instituto Histórico e Geográfico Brasileiro
Instituto de Matemática Pura e Aplicada
"Instituto Nacional de Metrologia, Qualidade e Tecnologia"
Autoestrada Lagoa-Barra
Avenida Armando Lombardi
Avenida Atlântica
Avenida Ayrton Senna (Rio de Janeiro)
Avenida Brasil (Rio de Janeiro)
Avenida das Américas
Avenida Delfim Moreira
Avenida Dom Hélder Câmara
Avenida Francisco Bicalho
Avenida Geremário Dantas
Avenida Lúcio Costa
Avenida Maracanã
Avenida Marechal Floriano
Avenida Marechal Rondon
Avenida Ministro Edgar Romero
Avenida Niemeyer
Avenida Nossa Senhora de Copacabana
Avenida Presidente Vargas
Avenida Princesa Isabel
Avenida Rei Pelé
Avenida Rio Branco (Rio de Janeiro)
Avenida Rodrigues Alves
Avenida Vieira Souto
Grajaú-Jacarepaguá
Linha Amarela (Rio de Janeiro)
Linha Vermelha (Rio de Janeiro)
Via Binário do Porto
Biblioteca Parque Estadual
Biblioteca Nacional do Brasil
Canecão
Casa França-Brasil
Casa Museu Eva Klabin
Centro Cultural Banco do Brasil (Rio de Janeiro)
Centro Cultural Correios (Rio de Janeiro)
Centro Cultural Light
Ecomuseu de Santa Cruz
Centro Luiz Gonzaga de Tradições Nordestinas
Museu Naval (Rio de Janeiro)
Lista de museus e centros culturais do Rio de Janeiro
Aterro do Flamengo
Bosque da Barra
Campo de Santana (Rio de Janeiro)
Jardim Botânico do Rio de Janeiro
Jardim Zoológico do Rio de Janeiro
Parque da Cidade (Rio de Janeiro)
Parque Ecológico Chico Mendes
Parque Eduardo Guinle
Parque Estadual da Chacrinha
Reserva Florestal do Grajaú
Parque Estadual da Pedra Branca
Parque Lage
Parque Madureira Mestre Monarco
Passeio Público (Rio de Janeiro)
Quinta da Boa Vista
Parque Natural Municipal de Marapendi
Catedral de São Sebastião do Rio de Janeiro
Igreja Batista Atitude
Templo da Glória do Novo Israel
Igreja de Nossa Senhora da Apresentação
Igreja Nossa Senhora do Brasil (Rio de Janeiro)
Igreja de Nossa Senhora da Candelária
Igreja de Nossa Senhora da Glória do Outeiro
Igreja de Nossa Senhora do Carmo da Antiga Sé
Igreja de Nossa Senhora do Carmo da Lapa do Desterro
Igreja da Ordem Terceira do Carmo (Rio de Janeiro)
Igreja da Ordem Terceira de São Francisco da Penitência
Convento de Santo Antônio (Rio de Janeiro)
Igreja de Nossa Senhora da Penha (Rio de Janeiro)
Igreja de Nossa Senhora da Lapa dos Mercadores
Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro)
Igreja de Santa Luzia (Rio de Janeiro)
Igreja de Santa Rita de Cássia (Rio de Janeiro)
Igreja de São Francisco de Paula (Rio de Janeiro)
Igreja do Santíssimo Sacramento da Antiga Sé
Mosteiro de São Bento (Rio de Janeiro)
Primeira Igreja Batista do Rio de Janeiro
Igreja Presbiteriana do Rio de Janeiro
Igreja Metodista do Catete
Turismo no Brasil
Ministério do Turismo (Brasil)
Ministério do Esporte e do Turismo
Mapa do Turismo Brasileiro
Programa de Cidades Históricas
Programa de Desenvolvimento do Turismo no Nordeste
Turismo na região Centro-Oeste do Brasil
Turismo em Goiás
Turismo em Mato Grosso do Sul
Turismo na Região Nordeste do Brasil
Turismo na Bahia
Turismo no Ceará
Turismo em Pernambuco
Turismo no Rio Grande do Norte
Turismo na Região Norte do Brasil
Turismo no Pará
Turismo em Rondônia
Turismo na região Sudeste do Brasil
Turismo no Espírito Santo
Turismo em Minas Gerais
Turismo no Rio de Janeiro
Turismo no estado de São Paulo
Turismo na Região Sul do Brasil
Turismo no Paraná
Turismo no Rio Grande do Sul
Turismo em Santa Catarina
Turismo em Fortaleza
Turismo em Macapá
Turismo em Manaus
Turismo em Natal (Rio Grande do Norte)
Turismo em Porto Alegre
Turismo na cidade de São Paulo
Base Virtual Internacional de Autoridade
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Património de Influência Portuguesa (base de dados)
Itaú Cultural
SIPA (base de dados)
