23 de novembro
Revolta dos Marinheiros de 1964
Intervenção federal em Goiás em 1964
Guerrilha de Três Passos
Guerrilha do Caparaó
Guerrilha do Araguaia
Revolta dos Perdidos
Atos de violência organizada no Brasil em 2006
Atos de violência organizada no Rio de Janeiro em 2010
Crise da segurança pública no Espírito Santo em 2017
Crise de segurança pública no Ceará em 2020
Ataques de 8 de janeiro em Brasília
Revolução
Revolução neolítica
Revolução Comercial
Johannes Gutenberg
Revolução dos preços
Revolução Científica
Revolução Gloriosa
Guerra Civil Inglesa
Restauração da Independência
Revolução Americana
Revoluções do Atlântico
Revolução Francesa
Revolução Haitiana
Revolução Industrial
Revolução Belga
Comuna de Paris
Independência da América Espanhola
Revoluções de 1820
Revoluções de 1830
Revoluções de 1848
Revolução de 1868
Revolução de Cádis
Revolução de Maio
Guerra de independência da Grécia
Revolução liberal do Porto
Restauração Meiji
Monarquia de Julho
Revolução Oriental
Triênio liberal
Revolução Bolivariana
Revolução Boliviana de 1952
Revolução Cantada
Revolução Chinesa
Revolução Constitucional Persa
Revolução Cubana
Revolução Cultural Chinesa
Contracultura
Revolução Nacional da Indonésia
Dissolução da União Soviética
Revoluções de 1905-1911
Revoluções de 1917–1923
Revoluções de 1989
Revolução de Agosto
Revolução de Fevereiro
Revolução de Veludo
Revolução de Zanzibar
Revolução Democrática da Mongólia
Revolução digital
Divisão da Coreia
Revolução de 25 de Abril de 1974
Revolução dos Jovens Turcos
Revolução Egípcia de 1952
Revolução Espanhola
Feminismo
Revolução do Poder Popular
Revolução Guatemalteca
Guerra Civil do Camboja
Revolução Húngara de 1956
Revolução Iraniana
Revolução de 14 de Julho
Kampuchea Democrático
Liga Espartaquista
Maio de 1968
Revolução Mexicana
Golpe de Estado de 28 de Maio de 1926
Invasão da República Dominicana pelos Estados Unidos em 1965
Protestos de 1968
República de Weimar
Implantação da República Portuguesa
Revolução Romena de 1989
Revolução Russa de 1905
Revolução Russa de 1917
Revolução Sandinista
Revolução Siamesa de 1932
Revolução Tranquila
Revolução Ucraniana
Revolução verde
Revolução Xinhai
Protestos antigovernamentais de 2007 em Myanmar
Queda do regime de Slobodan Milošević
Revolução das Tulipas
Revolução Arménia em 2018
Revolução dos Cedros
Revolução Laranja
Primavera Árabe
Revolução Rosa
Revolução Roxa
Protestos em Quixinau em 2009
Protestos eleitorais no Irã em 2009
Coluna Prestes
Guerra dos Farrapos
Revolução Pernambucana
Revolução Praieira
Revolta Paulista de 1924
Revoltas liberais de 1842
História militar de Portugal
Crise dinástica de 1383–1385
Lista de revoluções
Lista de presidentes do Brasil
Lista de governadores do Rio Grande do Sul
Governador do Rio Grande do Sul
Senado Federal do Brasil
Rio Grande do Sul
Faculdade de Direito da Universidade Federal do Rio Grande do Sul
Eleição presidencial no Brasil em 1934
Darcy Vargas
Lutero Vargas
Alzira Vargas
Maneco Vargas
Manuel do Nascimento Vargas
Benjamim Vargas
Iara Vargas
Vargas Neto
Celina Vargas do Amaral Peixoto
Queremismo
Rolls-Royce presidencial
Populismo
Getúlio Vargas (Rio Grande do Sul)
Presidente Vargas (Maranhão)
Presidente Getúlio
Museu Getúlio Vargas
Junta Governativa Provisória de 1930
José Linhares
Eurico Gaspar Dutra
Café Filho
