Política do Brasil
Guanabara
João Cleofas
Petrônio Portella
Eleições gerais no Brasil em 1970
Filinto Müller
Mato Grosso
Paulo Francisco Torres
José de Magalhães Pinto
Eleições gerais no Brasil em 1974
Luís Viana Filho
Eleições gerais no Brasil em 1978
Partido Democrático Social
Jarbas Passarinho
Pará
Nilo Coelho
Eleições gerais no Brasil em 1982
Moacir Dalla
Sexta República Brasileira
José Fragelli
Mato Grosso do Sul
Movimento Democrático Brasileiro (1980)
Humberto Lucena
Paraíba
Eleições gerais no Brasil em 1986
Nelson Carneiro
Mauro Benevides
Ceará
Eleições gerais no Brasil em 1990
José Sarney
Amapá
Eleições gerais no Brasil em 1994
Antônio Carlos Magalhães
Democratas (Brasil)
Eleições gerais no Brasil em 1998
Jader Barbalho
Edison Lobão
Ramez Tebet
Eleições gerais no Brasil em 2002
Renan Calheiros
Eleições gerais no Brasil em 2006
Tião Viana
Acre
Partido dos Trabalhadores
Garibaldi Alves Filho
Rio Grande do Norte
Eleições gerais no Brasil em 2010
Eleições gerais no Brasil em 2014
Eunício Oliveira
Davi Alcolumbre
Eleições gerais no Brasil em 2018
Lista de presidentes da Câmara dos Deputados do Brasil
Regimento Interno do Senado Federal do Brasil
Folha de S.Paulo
Brasil
Primeiro reinado
Pedro I do Brasil
Segundo reinado
Pedro II do Brasil
Paulino José Soares de Sousa
Cronologia da Primeira República Brasileira
Prudente de Morais
Era Vargas
Cronologia da Segunda República Brasileira
Cronologia da Terceira República Brasileira
Período Populista
Cronologia da Quarta República Brasileira
Café Filho
Ditadura militar brasileira
Cronologia da ditadura militar brasileira
Nova República
Cronologia da Sexta República Brasileira
Palácio do Conde dos Arcos (Rio de Janeiro)
Palácio Monroe
Palácio do Congresso Nacional
Biblioteca Acadêmico Luiz Viana Filho
Polícia do Senado Federal
Secretaria-Geral da Mesa do Senado Federal
Plenário do Senado Federal
Agência Senado
Jornal do Senado
Portal e-Cidadania
Rádio Senado
Revista de Informação Legislativa
Senado Notícias
TV Senado
Comenda de Direitos Humanos Dom Hélder Câmara
Comenda Dorina de Gouvêa Nowill
Diploma Bertha Lutz
Instituição Fiscal Independente
Eleição para mesa diretora do Senado Federal do Brasil em 2015
Eleição para mesa diretora do Senado Federal do Brasil em 2017
Eleição para mesa diretora do Senado Federal do Brasil em 2019
Eleição para mesa diretora do Senado Federal do Brasil em 2021
Eleição para mesa diretora do Senado Federal do Brasil em 2023
Império Brasileiro
Lista de senadores do Brasil da 1.ª legislatura
Lista de senadores do Brasil da 2.ª legislatura
Lista de senadores do Brasil da 3.ª legislatura
Lista de senadores do Brasil da 4.ª legislatura
Lista de senadores do Brasil da 5.ª legislatura
Lista de senadores do Brasil da 18.ª legislatura
Lista de senadores do Brasil da 19.ª legislatura
Lista de senadores do Brasil da 20.ª legislatura
República Velha
Lista de senadores do Brasil da 21.ª legislatura
Lista de senadores do Brasil da 22.ª legislatura
Lista de senadores do Brasil da 23.ª legislatura
Lista de senadores do Brasil da 24.ª legislatura
Lista de senadores do Brasil da 25.ª legislatura
Lista de senadores do Brasil da 26.ª legislatura
Lista de senadores do Brasil da 27.ª legislatura
Lista de senadores do Brasil da 28.ª legislatura
Lista de senadores do Brasil da 29.ª legislatura
Lista de senadores do Brasil da 30.ª legislatura
Lista de senadores do Brasil da 31.ª legislatura
Lista de senadores do Brasil da 32.ª legislatura
Lista de senadores do Brasil da 33.ª legislatura
Lista de senadores do Brasil da 34.ª legislatura
Lista de senadores do Brasil da 35.ª legislatura
Lista de senadores do Brasil da 36.ª legislatura
Lista de senadores do Brasil da 37.ª legislatura
Período populista
Lista de senadores do Brasil da 38.ª legislatura
Lista de senadores do Brasil da 39.ª legislatura
Lista de senadores do Brasil da 40.ª legislatura
Lista de senadores do Brasil da 41.ª legislatura
Lista de senadores do Brasil da 42.ª legislatura
Regime militar no Brasil (1964–1985)
Lista de senadores do Brasil da 43.ª legislatura
Lista de senadores do Brasil da 44.ª legislatura
Lista de senadores do Brasil da 45.ª legislatura
Lista de senadores do Brasil da 46.ª legislatura
Lista de senadores do Brasil da 47.ª legislatura
Lista de senadores do Brasil da 48.ª legislatura
Lista de senadores do Brasil da 49.ª legislatura
Lista de senadores do Brasil da 50.ª legislatura
Lista de senadores do Brasil da 51.ª legislatura
Lista de senadores do Brasil da 52.ª legislatura
Lista de senadores do Brasil da 53.ª legislatura
Lista de senadores do Brasil da 54.ª legislatura
Lista de senadores do Brasil da 55.ª legislatura
Lista de senadores do Brasil da 56.ª legislatura
Lista de senadores do Brasil da 57.ª legislatura
Comissão de Assuntos Econômicos do Senado Federal do Brasil
"Comissão de Ciência, Tecnologia, Inovação, Comunicação e Informática do Senado Federal do Brasil"
"Comissão de Constituição, Justiça e Cidadania do Senado Federal do Brasil"
