Fevereiro
Caio Júnior
2016
Satoru Akahori
Hamed Bakayoko
2021
Ferenc Csipes
Danilo Marcelino
1967
John Harkes
Michael Bartels
Sérgio Pinho Alves
1969
Juan de Dios Ramírez Perales
Jorge Otero
1970
Jason Elam
Meredith Scott Lynn
Andrea Parker
Kit Symons
Constantin Gâlcă
Denis Lian
Jakob Sveistrup
Andrey Melnichenko
Matthew Nable
Anneke van Giersbergen
Kurt Mollekens
Kevin Pilkington
Leandro Lázzaro
1976
Cláudio Alexandre de Oliveira
Freddie Prinze Jr.
Paulo Sérgio (futebolista)
Daniel Xhafaj
Juan Encarnación
1977
James Van Der Beek
Johann Vogel
Fjodor Xhafa
Ahmed Faris Al-Binali
Marlon Sandro
Anaílson Brito Noleto
Tom Chaplin
Geoff Rickly
1980
Renata Dominguez
Fabián Canobbio
Andrey Sidelnikov
Mohammadou Idrissou
1981
Michael Beauchamp
Oélilton Araújo dos Santos
Timo Boll
Xu Yuanyuan
1982
Brett Evans
Angelo Tchen
Kat Von D
Poliana Okimoto
André Santos
Cleyton
1984
Nora-Jane Noone
Saša Vujačić
Rio Mavuba
Robinson Chalapud
Fernanda Andrade
György Garics
Rafik Djebbour
Chris van der Drift
Maria Borodakova
Princesa Tsuguko de Takamado
Lassad Nouioui
Aurélien Collin
Aleksandr Kislitsyn
Bárbara Seixas
1988
Diego Biseswar
Elierce Barbosa de Souza
Jahmir Hyka
Juan Carlos García
2018
Ander Iturraspe
Radosav Petrović
Kristinia DeBarge
Bruno Collaço
Petra Kvitová
Dever Orgill
Rémy Cabella
Asier Illarramendi
1991
Devon Werkheiser
Michael Simões Domingues
Alan Pulido
Miriam Bryant
Róbert Mak
João Paulo Mior
Jozabed
1992
Cedrick Mabwati
Shohrat Soyunov
Mike (futebolista)
Dylan Tombides
Chris Philipps
1995
Keita Baldé Diao
Marciel Silva da Silva
Isaiah Whitehead
Ewan Mitchell
Tijana Bošković
Molly Sterling
Montana Jordan
Kaik Pereira
2004
Kit Connor
Urraca I de Leão e Castela
1082
1137
Adela da Normandia
1067
1144
Papa Celestino II
1085
1279
Adelaide I de Borgonha
1224
1403
Bajazeto I
1354
1441
"Margarida de Borgonha, Duquesa da Baviera"
1374
1466
Francisco I Sforza
1401
1619
Veit Bach
Guilherme III de Inglaterra
1650
1712
"Luís, Duque de Bretanha"
1707
1723
Christopher Wren
1632
1829
Benjamin Meggot Forster
1764
1837
Domingos Sequeira
1768
Carlos XIV João da Suécia
1763
Pantaleón Boné
Joaquim Soares Coimbra
1780
1848
"Isabella Caroline Campbell, Baronesa Cawdor"
1771
William Poole
1866
Antônio Manuel de Melo
1869
Hector Berlioz
1803
José Inácio de Abreu e Lima
1794
Joaquim José Inácio
André Diogo Martins dos Santos
1872
Priscilla Susan Bury
1799
1874
Millard Fillmore
1800
1878
Francisco Carlos da Áustria
Henry Ward Beecher
1813
Josif Pančić
1814
1889
John Ericsson
1890
Militão Pamplona Corte Real
1891
Antonio Ciseri
1893
José Augusto Homem de Noronha
1898
Thomas Kirk
1828
Luís José de Melo e Oliveira
Henry Baker Tristram
Ferdinand von Zeppelin
1838
Rafael Obligado
1851
Henrique Schaumann
Johannes Diderik van der Waals
Krišjānis Barons
1835
Floro Bartolomeu
1876
1927
Manuel Gondra
1928
Generoso Marques dos Santos
William Howard Taft
Edward Terry Sanford
1865
Howie Morenz
1902
Henry Pellatt
1941
Sherwood Anderson
José Raúl Capablanca
Félix de Barros Cavalcanti de Lacerda
1880
Clementina da Bélgica
Othmar Schoeck
Thomas Beecham
Franz Alexander
Aniceto dos Santos
Tadd Dameron
Harold Lloyd
Ron McKernan
Martha Wentworth
1975
George Stevens
Alfons Rebane
1908
Cristiano Stockler das Neves
William Walton
1985
Danilo Di Prete
Victor Wolfgang von Hagen
Robert Minard Garrels
1916
Elisaveta Bykova
1913
Billy Eckstine
Ingo Schwichtenberg
1996
Jack Churchill
Alfredo Vicente Scherer
1903
Ray Nitschke
Adolfo Bioy Casares
Joe DiMaggio
António Campos
Joe Mullaney
Luís Rocha
Justin Ahomadégbé-Tomêtin
Adam Faith
Karen Morley
1909
Elliott Jaques
Ahmos Zu-Bolton
César Lattes
Aslan Maskhadov
1951
2006
Albert D. Schroeder
2007
Frederick John Inman
Pino Lancetti
Guy Lapébie
Mike Starr (músico)
Simin Daneshvar
Lourival Baptista
William Guarnere
Inezita Barroso
Sam Simon
George Martin
2019
Cedrick Hardman
Kelly Catlin
Max von Sydow
Dia das Mães
Albânia
Rússia
Sérvia
Montenegro
Bulgária
Romênia
Montemor-o-Novo
Félix de Dunwich
Pôncio de Cartago
Calendário romano
Idos
Calendário litúrgico
Letra dominical
Semana
Epacta
Science (journal)
Bibcode
PubMed Identifier
Digital object identifier
Mês
Dia
11 de dezembro
Janeiro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
28 de abril
29 de abril
30 de abril
Maio
1 de maio
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
Agosto
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
Setembro
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
Outubro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
Novembro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
Dezembro
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
19 de dezembro
20 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
