25 de janeiro
Pierre Boulez
Wayne Shorter
Celia Cruz
"Earth, Wind & Fire"
Jefferson Airplane
Linda Ronstadt
Run-D.M.C.
Ruth Brown
Ahmad Jamal
Charley Pride
Jimmie Rodgers
Nina Simone
Sly Stone
The Velvet Underground
Emmylou Harris
Hal Blaine
Louis Jordan
Neil Diamond
The Meters
Tina Turner
Queen
Billy Eckstine
Black Sabbath
Dionne Warwick
Donny Hathaway
George Clinton
Parliament-Funkadelic
Julio Iglesias
Sam & Dave
Chicago (banda)
Iggy Pop
Isaac Hayes
Public Enemy
Roberta Flack
Sister Rosetta Tharpe
Grandmaster Flash and the Furious Five
Lionel Hampton
Marilyn Horne
Salt-N-Pepa
Selena
Talking Heads
Bonnie Raitt
Bobby McFerrin
Nirvana (banda)
Ma Rainey
Slick Rick
Nile Rodgers
The Supremes
Ann Wilson
Nancy Wilson
Laurie Anderson
The Clark Sisters
Gladys Knight
N.W.A
Donna Summer
Tammy Wynette
Base Virtual Internacional de Autoridade
AllMusic
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Discogs
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Find a Grave
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Dieta
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Itaú Cultural
Portal Musica Brasilis
Biblioteca Nacional de Portugal
Biblioteca Nacional da Polónia
AlloCiné
Cinémathèque Française
