Toyota Corolla
Vemag
Instituto Nacional de Tecnologia
Álcool etílico
Circuito da Gávea
Rio de Janeiro (cidade)
Automóvel Clube do Brasil
São Paulo (cidade)
Barra do Piraí
Petrópolis
Piloto (automobilismo)
Chico Landi
Metanol
Fábrica Nacional de Motores
Motor aeronáutico
Fábrica Nacional de Mobilidade
Veículo elétrico
Veículo oficial
Serviço público
Transporte público
Gasogênio
Georges Imbert
Gás pobre
Carvão vegetal
Automobilismo de velocidade
Indústrias Romi
Interior paulista
DKW
1958
Sedan
Sw
Carrocerias Fissore
Itália
Kombi
Bomba injetora
Carburador
Câmbio automático
Câmbio semiautomático
Design automobilístico
Dupla embreagem
Estequiômetro
Freio a disco
Injecção eletrónica
Arrefecimento
Cabeça do motor
Árvore de cames
Balanceiro
Coletor (motor)
Distribuidor (mecânica)
Injector
Tucho
Válvula (motor)
Vela de ignição
Bloco do motor
Cárter
Biela
Bronzina
Cambota
Cilindro (motor)
Junta da cabeça
Pistão
Volante do motor
Turbocompressor
Supercompressor
Caixa de velocidades
Conversor de torque
Diferencial
Eixo (mecânica)
Eixo cardã
Embraiagem
Junta homocinética
Semieixo (mecânica)
Sincronizador
Transeixo
Transmissão continuamente variável
Amortecedor
Barra de torção
Coxim (mecânica)
Sistema de travagem antibloqueio
Distribuição eletrônica de frenagem
Programa eletrônico de estabilidade
Freio de estacionamento
Freio a tambor
Pastilha de freio
Travão
Aerofólio
Body kit
Chassi
Difusor
Para-choque
Para-brisa
Para-lama
Guarda-lamas
Quebra-mato
Quebra-vento
Teto solar
Santantônio
Spoiler (automóvel)
Airbag
Alarme automotivo
Buzina
Farol de rodagem diurna
Isofix
Luzes automotivas
Limpador de para-brisa
Retrovisor
Sensor de estacionamento
Pneu reserva
Triângulo de segurança
Pisca-alerta
Sistema de ignição
Centralina electrónica
Injeção eletrónica
Injeção direta
Conversor catalítico
Escapamento
Filtro de partículas diesel
Alternador
Bateria automotiva
Motor de arranque
Dínamo
Porta-malas
Porta-luvas
Volante
Acendedor de cigarros
Quebra-sol
Acelerador
Tacômetro
Odómetro
Velocímetro
Medidor de combustível
Computador de bordo
Aquecedor central
Condicionamento de ar
Alavanca de câmbio
Calota
Coluna de direção
Direção assistida
Filtro de ar
Radiador
Trava elétrica
Macaco hidráulico
Software
Classificação dos automóveis
Acidente de automóvel
Motorista
Acidente automobilístico
Tóquio
Japão
Mary Ward
1869
Henry Bliss
1899
Nova Iorque
EuroNCAP
Borracha
1895
Bicicleta
Edouard Michelin
Ásia
Oceania
Canadá
América Latina
Oriente Médio
África
América do Norte
América do Sul
República Popular da China
Rússia
Brasil
Matérias-primas
Transportes públicos
Budapeste
Hungria
Demanda
Carona solidária
Combustíveis alternativos
Ecocondução
Movimento antiautomobilista
Reclaim the Streets
Caminhões
Autoestrada
Ontário
Trânsito
Poluição atmosférica
Interstate 80
Berkeley (Califórnia)
Califórnia
Poluição
Poluição sonora
Estadunidenses
Ar
Tonelada
Dióxido de carbono
Monóxido de carbono
Hidrocarboneto
Nitrogênio
Habitat
Metros quadrados
Produção primária
Imposto
Automóvel híbrido
Biogasolina
Biodiesel
Etanol de carvão
Reciclagem
Aço
Mecânico
Eletricista
Lanterneiro
Gás carbônico
Automodelismo
Autobesidade
Bertha Benz Memorial Route
Congestionamento (trânsito)
Crash test
Custos do automóvel
Engenharia automóvel
Lista de automóveis mais vendidos
Lista de países por automóvel per capita
Motocicleta a diesel
Placa de identificação de veículos
Posto de abastecimento
Sistema embarcado
Society of Automotive Engineers
Som automotivo
O Globo
International Standard Book Number
Top Gear (2002)
India Today
Google Livros
The Hindu
Wayback Machine
Bioquerosene
Correio do Estado
Senado Federal do Brasil
Web Archive
Oxford University Press
Organisation Internationale des Constructeurs d'Automobiles
IPEN
Wikimedia
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
Dicionário Histórico da Suíça
JSTOR
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Enciclopédia Treccani
Medical Subject Headings
Sistema Unificado de Linguagem Médica
