Fagundes Varella
Jacques Cazotte
François-René de Chateaubriand
John Clare
Samuel Taylor Coleridge
James Fenimore Cooper
Thomas de Quincey
Alexandre Dumas
Joseph Freiherr von Eichendorff
Ralph Waldo Emerson
Mihai Eminescu
José de Espronceda
Ugo Foscolo
Théophile Gautier
Johann Wolfgang von Goethe
Nathaniel Hawthorne
Heinrich Heine
E. T. A. Hoffmann
Friedrich Hölderlin
Victor Hugo
Washington Irving
Jean Paul
John Keats
Heinrich von Kleist
Alphonse de Lamartine
Mariano José de Larra
Giacomo Leopardi
Mikhail Lérmontov
James Russell Lowell
Alexandru Macedonski
Antoni Malczewski
Alessandro Manzoni
Prosper Mérimée
Adam Mickiewicz
Alfred de Musset
Mikael Nalbandian
Gérard de Nerval
Charles Nodier
Cyprian Norwid
Novalis
Adam Gottlob Oehlenschläger
Edgar Allan Poe
John William Polidori
Jan Potocki
France Prešeren
Alexandre Pushkin
Friedrich Schiller
Gustav Schwab
Walter Scott
Mary Shelley
P. B. Shelley
Taras Shevchenko
Juliusz Słowacki
Germaine de Staël
Stendhal
Ludwig Tieck
Ludwig Uhland
Mihály Vörösmarty
William Wordsworth
Vasily Zhukovsky
José Zorrilla y Moral
Ludwig Feuerbach
Johann Gottlieb Fichte
Georg Wilhelm Friedrich Hegel
Aleksei Khomiakov
Jean-Jacques Rousseau
August Wilhelm Schlegel
Friedrich Schlegel
Friedrich Schleiermacher
Música do romantismo
Adolphe Charles Adam
Charles-Valentin Alkan
Daniel François Esprit Auber
Ludwig van Beethoven
Vincenzo Bellini
William Sterndale Bennett
Hector Berlioz
Louise Bertin
Franz Berwald
Johannes Brahms
Anton Bruckner
Luigi Cherubini
Frédéric Chopin
Gaetano Donizetti
Gabriel Fauré
John Field
César Franck
Mikhail Glinka
Jacques Fromental Halévy
Friedrich Kalkbrenner
Franz Liszt
Carl Loewe
Heinrich Marschner
Étienne Méhul
Fanny Mendelssohn
Felix Mendelssohn Bartholdy
Giacomo Meyerbeer
Stanisław Moniuszko
Ignaz Moscheles
Modest Mussorgsky
Niccolò Paganini
Anton Reicha
Nikolai Rimsky-Korsakov
Gioachino Rossini
Anton Rubinstein
Franz Schubert
Clara Schumann
Robert Schumann
Bedřich Smetana
Fernando Sor
Louis Spohr
Gaspare Spontini
Sigismond Thalberg
Giuseppe Verdi
Richard Wagner
Carl Maria von Weber
Pintura do romantismo
Ivan Konstantinovich Aivazóvski
Albert Bierstadt
Richard Parkes Bonington
Théodore Chassériau
Frederic Edwin Church
John Constable
Thomas Cole
Jean-Baptiste Camille Corot
Pierre Jean David
Eugène Delacroix
Caspar David Friedrich
Johann Heinrich Füssli
Théodore Géricault
Anne-Louis Girodet
Francisco de Goya
Hans Gude
Francesco Hayez
Emanuel Leutze
Samuel Palmer
Fleury François Richard
François Rude
Philipp Otto Runge
Ary Scheffer
William Turner
Philipp Veit
Antoine Wiertz
Artes do Brasil
Brasil
Arquitetura do Brasil
Arquitetura colonial do Brasil
Arquitetura moderna no Brasil
Paisagismo do Brasil
Cinema do Brasil
História da animação no Brasil
Televisão no Brasil
Dança do Brasil
Design no Brasil
Escultura do Brasil
Fotografia no Brasil
Literatura do Brasil
Quinhentismo
Literatura barroca no Brasil
Prosa Romântica no Brasil
Pré-modernismo
Poesia do Brasil
Música do Brasil
Pintura no Brasil
História em quadrinhos no Brasil
Teatro do Brasil
História do teatro musical no Brasil
Academismo no Brasil
Arte colonial do Brasil
Ecletismo no Brasil
Modernismo no Brasil
Naturalismo no Brasil
Neoclassicismo no Brasil
Parnasianismo no Brasil
Simbolismo no Brasil
Belle Époque brasileira
Ciclo das Secas
Escola Paulista
Geração 65
Geração 80
Geração mimeógrafo
Movimento Armorial
Nova Figuração brasileira
Tropicália
Vanguarda Paulistana
Literatura afro-brasileira
Arte indígena brasileira
Arte marajoara
Música indígena brasileira
Arte plumária dos índios brasileiros
Carnaval do Brasil
Folclore brasileiro
Arte pré-histórica no Brasil
Censura no Brasil
Ficção científica do Brasil
