Bandeira de Angola
Força de Defesa da África do Sul
Apartheid
África do Sul
Huambo
Forças Armadas Populares de Libertação de Angola
Sumbe
PT-76
Intervenção cubana em Angola
Marxismo-leninismo
Jonas Savimbi
Forças Armadas Angolanas
José Eduardo dos Santos
Fundo Monetário Internacional
Geografia de Angola
Imagem de satélite
The Map Library
Savana
Zambeze
Clima
Peru
Baja California
Estação das chuvas
Estação seca
Planalto do Bié
Rio Cuanza
Rio Cuango
Rio Cuando
Rio Cubango
Rio Cunene
Classificação climática de Köppen-Geiger
Zona tropical
Corrente de Benguela
Deserto do Namibe
Estação das Chuvas
Cacimbo
Deserto do Calaari
Miradouro da Lua
Belas (Angola)
Demografia de Angola
Províncias de Angola
Luanda (província)
Cabinda (cidade)
Huambo (província)
Uíge
Uíge (província)
Lobito
Benguela (província)
Tômbua
Namibe (província)
Saurimo
Lunda Sul
Lubango
Huíla
Cuanza Sul
Lucapa
Lunda Norte
Caluquembe
Cuíto
Bié
Gabela
Malanje
Malanje (província)
Caxito
Bengo
Moçâmedes
Longonjo
Soyo
Zaire (província)
Língua umbundo
Língua quimbundo
Chócues
Ovambos
Língua mbunda
Hereros
Nhaneca-humbes
Xindongas
Europeus
Africanos
Refugiados
Direito de asilo
Taxa de fecundidade
Línguas de Angola
Português de Angola
Língua oficial
Fiote
Ibinda
Cuando-Cubango
Banta
San (língua)
Bosquímano
Catolicismo em Angola
Catolicismo romano
Cristianismo
Religiões tradicionais africanas
Sem religião
Igreja Católica
Protestantes
Baptistas
Convenção Batista de Angola
Igreja Baptista Evangélica em Angola
Metodistas
Congregacionais
Reformados
Luteranos
Adventistas
Igreja Nova Apostólica
Pentecostais
Irreligião
Igreja católica
Muçulmanos
Sunitas
Política de Angola
Governo da República de Angola
João Lourenço
Palácio da Assembleia Nacional de Angola
Assembleia Nacional (Angola)
Governo
Poder legislativo
Subdivisões de Angola
Município
Governo eletrônico
Internet
Bandeira do MPLA
Constituição de Angola
31 de agosto
2012
Abel Epalanga Chivukuvuku
Vladimir Putin
Conselho de Segurança das Nações Unidas
Presidente de Angola
Nações Unidas
Freedom House
Eleições gerais de Angola de 2012
Democracia
Índice de Democracia
The Economist
África Subsaariana
Primavera Árabe
Homossexualidade
Homofobia
Quissama
Ícolo e Bengo
Cuanza Norte
Moxico
Cunene
Cuando Cubango
Lista de municípios de Angola por província
Lista de municípios de Angola por ordem alfabética
Economia de Angola
Sonangol
Empresa estatal
África subsaariana
Nigéria
Economia
Agricultura
Café
Cana-de-açúcar
Sisal
Milho
Coco
Amendoim
Algodão
Tabaco
Borracha
Batata
Arroz
Cacau
Banana
Gado bovino
Diamante
Ferro
Cobre
Manganês
Fosfato
Sal
Chumbo
Estanho
Ouro
Prata
Platina
Organização dos Países Exportadores de Petróleo
Barril (unidade)
Estados Unidos
Urânio
Indústria
Açúcar
Cerveja
Cimento
Madeira (material)
Pneu
Fertilizantes
Celulose
Vidro
Aço
Hidroeléctrica
Caminho-de-ferro
Catanga
Rodovia
Porto (transporte)
Porto de Luanda
Porto do Lobito
Porto do Soyo
Porto do Namibe
Complexo Portuário de Cabinda
Aeroporto
Banco Nacional de Angola
Exportação
Quilamba
Container (transporte)
Dilma Rousseff
Boeing 737-700
TAAG Linhas Aéreas de Angola
Central Hidroelétrica de Capanda
Cacuso
Abrahão Pio dos Santos Gourgel
Tony Blair
The Boston Consulting Group
FMI
Produto Interno Bruto
Bolsa de Dívida e Valores de Angola
Saúde em Angola
Hospital Josina Machel
Hospital Nossa Senhora da Paz
Cubal
Niacina
HIV
SIDA
Educação em Angola
Universidade Agostinho Neto
Magistério Mutu-ya-Kevela
Universidade Katyavala Bwila
Cabinda (município)
Universidade 11 de Novembro
Universidade José Eduardo dos Santos
Universidade Mandume ya Ndemufayo
Luena (Angola)
Universidade Lueji A'Nkonde
Universidade Católica de Angola
Universidade Jean Piaget de Angola
Universidade Privada de Angola
Universidade Metodista de Angola
Universidade Técnica de Angola
Universidade Independente de Angola
Universidade de Belas
Instituto Superior de Ciências Sociais e Relações Internacionais
Rio Catumbela
Caminho de Ferro de Benguela
Caminho de Ferro de Moçâmedes
Caminho de Ferro de Luanda
Lista de aeroportos de Angola
Porto de Moçâmedes
Porto do Cuanza Sul
Infraestrutura para sistemas de telecomunicações
Angosat 1
Iombes
Cultura de Angola
Cultura angolana
Ovambo
Português europeu
Literatura de Angola
Literatura
Independência de Angola
Kuduro
Brasil
Moçambique
Cabo Verde
Semba
Kizomba
Estádio Nacional 11 de Novembro
Basquete
Seleção Angolana de Basquetebol Masculino
Afrobasket
Basquetebol nos Jogos Olímpicos
Campeonato Mundial de Basquetebol Masculino
Futebol
Copa das Nações Africanas de 2010
Copa do Mundo FIFA de 2006
Copa do Mundo
Copa COSAFA
Campeonato das Nações Africanas
Jogos Olímpicos de Verão
Batalha do vau do Pembe
Eleições Gerais em Angola 2012
Imbangalas
Lingala
IURD
Islão
Christine Messiant
United Nations Development Programme
O Globo
Franz-Wilhelm Heimer
Inter Press Service
ISCTE-IUL
Jorge Miranda
EFE
PubMed Identifier
Ana Paula Ribeiro Tavares
International Standard Book Number
Wikimedia
Angola
História pré-colonial de Angola
Colonização de Angola
Lista de primeiros-ministros de Angola
Eleições em Angola
Lista de partidos políticos de Angola
Corrupção em Angola
Comunas de Angola
Lista de ecorregiões em Angola
Lista de parques nacionais de Angola
Fauna de Angola
Kwanza angolano
Mineração em Angola
Turismo em Angola
Pesca em Angola
Transportes de Angola
Cinema em Angola
Música de Angola
Instrumentos musicais de Angola
Culinária de Angola
Desporto em Angola
Feriados em Angola
Lista de países
Argélia
Benim
Burquina Fasso
Burundi
Camarões
Chade
Comores
Costa do Marfim
Djibuti
Egito
Eritreia
Essuatíni
Etiópia
Gâmbia
Gana
Guiné
Guiné-Bissau
Guiné Equatorial
Lesoto
Libéria
Líbia
Madagáscar
Maláui
Mali
Marrocos
Maurícia
Mauritânia
Níger
Quénia
República Centro-Africana
Ruanda
São Tomé e Príncipe
Senegal
Serra Leoa
Seicheles
Somália
Sudão
Sudão do Sul
Tanzânia
Togo
Tunísia
Uganda
Zimbábue
Ilha de Alborão
Ilhéu de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilhéu de Vélez de la Gomera
Maiote
Reunião (departamento)
Socotorá
Pantelária
Ilhas Pelágias
Região Autónoma da Madeira
"Santa Helena, Ascensão e Tristão da Cunha"
Saara Ocidental
Somalilândia
Banco do Geyser
Bassas da Índia
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilha Tromelin
União Africana
Pan-africanismo
Afro (moeda)
Regiões da União Africana
Assembleia da União Africana
Comissão da União Africana
Parlamento Pan-africano
Banco Central Africano
Fundo Monetário Africano
Carta Africana dos Direitos Humanos e dos Povos
Alargamento da União Africana
Estados-membros da União Africana
Madagascar
Quênia
República Árabe Saaraui Democrática
Comunidade dos Países de Língua Portuguesa
Estados membros da Comunidade dos Países de Língua Portuguesa
Timor-Leste
Andorra
Argentina
Canadá
Catar
Chéquia
Chile
Conferência Ibero-americana
Eslováquia
Espanha
França
Geórgia
Grécia
Hungria
Índia
Irlanda
Itália
Japão
Luxemburgo
Organização dos Estados Ibero-americanos
Paraguai
Romênia
Sérvia
Turquia
Uruguai
Assistência Médica Internacional
Associação das Universidades de Língua Portuguesa
Associação dos Comités Olímpicos de Língua Oficial Portuguesa
Fundação Calouste Gulbenkian
Fundação Champalimaud
Fundação Luso-Americana
Fundação Luso-Brasileira
Fundação Mário Soares
Fundação Oriente
Fundação Oswaldo Cruz
Fundação Roberto Marinho
Instituto Histórico e Geográfico Brasileiro
Médicos do Mundo
Sociedade de Geografia de Lisboa
Real Gabinete Português de Leitura
Universidade Estadual de Campinas
Universidade Federal da Bahia
Universidade Federal do Rio de Janeiro
Universidade Lusófona de Humanidades e Tecnologias
Cronologia da história de Portugal
Reino de Portugal
"Reino Unido de Portugal, Brasil e Algarves"
Implantação da República Portuguesa
Souira Kedima
Alcácer-Ceguer
Arzila (Marrocos)
Azamor
Mazagão (Marrocos)
Essaouira
Safim
Agadir
Tânger
Ouadane
Acra
Ano-Bom
Arguim
Província Ultramarina de Cabo Verde
Elmina
Bioko
Costa do Ouro (colónia de Portugal)
Guiné Portuguesa
Melinde
Mombaça
África Oriental Portuguesa
Ruínas de Quilua Quisiuani e de Songo Mnara
Fortaleza de São João Baptista de Ajudá
Província Ultramarina de São Tomé e Príncipe
Zanzibar
Ziguinchor
Barém
Ormuz
Mascate
Bandar Abbas
Soar
Ceilão Português
Laquedivas
Maldivas
Baçaim
Bombaim sob domínio português
Calecute
Cananor
Chaul
Chatigão
Cochim
Cranganor
Dadrá e Nagar-Aveli
Damão
Diu
Goa
Ugulim
Negapatão
Paliacate
Coulão
Salsete
Masulipatão
Mangalore
Surrate
Tuticorim
São Tomé de Meliapor
Ilhas Banda
Flores (Indonésia)
Macau português
Província ultramarina
Macáçar
Malaca Portuguesa
Ilhas Molucas
Amboíno
Ternate (Indonésia)
Tidore
Nagasáqui portuguesa
Tamão
Timor Português
Terra Nova
Labrador
Nova Escócia
Brasil Colônia
Barbados
Província Cisplatina
Colônia de Caiena e Guiana
Colônia do Sacramento
Arquipélago
Atlântico Norte
Subdivisões de Portugal
Ilhas Adjacentes
Regiões autónomas de Portugal
Socialismo
História do movimento socialista no Brasil
História do socialismo no Canadá
História do movimento socialista nos Estados Unidos
Bandeira vermelha
Socialismo africano
Socialismo árabe
Britain's Road to Socialism
Via birmanesa para o socialismo
Socialismo com características chinesas
Sionismo trabalhista
Sandinismo
Revolução Bolivariana
República Popular de Angola
República Popular do Benim
República Popular do Congo
Derg
República Democrática Popular da Etiópia
República Popular de Moçambique
República Democrática Somali
Cuba
Governo Revolucionário Popular de Granada
Nicarágua
Venezuela
República Democrática do Afeganistão
Kampuchea Democrático
República Popular do Kampuchea
República Socialista Soviética da Pérsia
Governo Popular do Azerbaijão
República de Mahabad
Coreia do Norte
Laos
República Popular da Mongólia
República Popular de Tuva
Vietname
Vietnã do Norte
República do Vietname do Sul
República Democrática do Iêmen
Iêmen do Sul
Estado de Wa
República Socialista Popular da Albânia
República Soviética da Baviera
República Soviética de Bremen
República Popular da Bulgária
República Socialista da Checoslováquia
República Democrática da Finlândia
Alemanha Oriental
República Soviética Húngara
República Popular da Hungria
República Popular da Polónia
Romênia socialista
República Soviética Eslovaca
República Socialista Federativa da Iugoslávia
Djibouti
Malawi
Zimbabwe
Haiti
Afeganistão
Bangladesh
Camboja
Iémen
Myanmar
Nepal
Ilhas Salomão
Kiribati
Tuvalu
Partido de Renovação Social (Angola)
Partido Humanista de Angola
Convergência Ampla de Salvação de Angola - Coligação Eleitoral
Base Virtual Internacional de Autoridade
Bibsys
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Descritores em Ciências da Saúde
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Medical Subject Headings
Sistema Unificado de Linguagem Médica
