3 de agosto
Instituto de Estudos Avançados
Centro de Lançamento de Alcântara
Centro de Lançamento da Barreira do Inferno
Satélite de Coleta de Dados 2
Satélite de Reentrada Atmosférica
Amazonia 1
AESP-14
GOLDS-UFSC
SGDC
Galileo Solar Space Telescope
Foguete Sonda
VSB-30
Veículo Lançador de Satélites
Acidente de Alcântara
Veículo Lançador de Microssatélite
Programa Cruzeiro do Sul
VS-30
VS-40
VS-50
Marcos Pontes
VLS-1 V01
VLS-1 V02
Missão Centenário
Soyuz TMA-8
Soyuz TMA-7
Garatéa-L
Alcântara Cyclone Space
Flora Hiperspectral
Lista de agências espaciais
Argélia
África do Sul
Agência Espacial Nacional Sul-Africana
México
Agencia Espacial Mexicana
Canadá
Agência Espacial Canadiana
Estados Unidos
Agência Espacial Latino-Americana e Caribenha
Argentina
Comisión Nacional de Actividades Espaciales
Instituto Tecnológico de Aeronáutica
Israel
Agência Espacial de Israel
China
Administração Espacial Nacional da China
Índia
Agência Indiana de Pesquisa Espacial
Japão
JAXA
União Europeia
Agência Espacial Europeia
Alemanha
Centro Aeroespacial Alemão
França
Centre National d'Études Spatiales
Itália
Agência Espacial Italiana
Reino Unido
UK Space Agency
Suécia
Agência Espacial Sueca
Áustria
Agência Espacial Austríaca
Portugal
Portugal Space
Rússia
Roscosmos
Ucrânia
Agência Espacial do Estado da Ucrânia
Austrália
Commonwealth Scientific and Industrial Research Organisation
Base Virtual Internacional de Autoridade
Encyclopædia Britannica
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
Fundação de Amparo à Pesquisa do Estado de São Paulo
