25 de Dezembro (álbum)
Novembro
Dezembro
Janeiro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
19 de dezembro
20 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Cometa Halley
Beagle 2
Gerard van Honthorst
Natal
Nascimento de Jesus
1
Data do nascimento de Jesus
Jesus de Nazaré
Cronologia
César Augusto
Públio Sulpício Quirino
Públio Quintílio Varo
36
Guang Wudi
Dinastia Han
274
Templo do Sol Invicto
Sol Invicto
Roma Antiga
Aureliano
333
Constantino
Constante I
César (título)
336
Roma
350
Vetrânio
Constâncio II
Niš
Sérvia
508
Clóvis I
Francos
Batismo
Catolicismo
Reims
Remígio de Reims
597
Agostinho de Cantuária
Anglo-saxões
Reino de Kent
800
Carlos Magno
Papa Leão III
Sacro Império Romano-Germânico
820
"Leão V, o Armênio"
Igreja da Virgem do Farol
Grande Palácio de Constantinopla
Constantinopla
"Miguel II, o Amoriano"
1000
Reino da Hungria
Cristianismo
Estêvão I da Hungria
1013
Sueno I da Dinamarca
Danelaw
Reino da Inglaterra
1025
Miecislau II da Polónia
1046
Henrique III do Sacro Império Romano-Germânico
Imperador Romano-Germânico
Papa Clemente II
1066
Guilherme I de Inglaterra
Inglaterra
Abadia de Westminster
1076
Boleslau II da Polónia
1100
Balduíno I de Jerusalém
Reino de Jerusalém
Basílica da Natividade
1130
Rogério II da Sicília
Reino da Sicília
1137
Leonor da Aquitânia
Burges
1261
João IV Láscaris
Império Bizantino
Miguel VIII Paleólogo
1492
Carraca
Santa Maria (nau)
Cristóvão Colombo
Recife
Haiti
1559
Papa Pio IV
Conclave de 1559
1758
Johann Georg Palitzsch
Edmund Halley
1776
Guerra de Independência dos Estados Unidos
George Washington
Exército Continental
Rio Delaware
Império Britânico
Trenton (Nova Jersey)
1831
Guerra Batista
1868
Confederados
Andrew Johnson
1881
Balão
Júlio César Ribeiro de Sousa
1905
Pinacoteca do Estado de São Paulo
Ramos de Azevedo
Domiziano Rossi
1914
Trégua de Natal
Frente Ocidental (Primeira Guerra Mundial)
1915
Guerra de Proteção Nacional
Império da China (1915–1916)
Iunã
República da China (1912–1949)
1932
Terremoto
Gansu
China
1941
Segunda Guerra Mundial
Batalha de Hong Kong
Ocupação japonesa de Hong Kong
Chester W. Nimitz
Frota do Pacífico dos Estados Unidos
Pearl Harbor
1946
Reação nuclear
Europa
União Soviética
1962
Tratado de Proibição Parcial de Testes Nucleares
1968
Programa Apollo
Apollo 8
Trajetória
Esfera de influência (astrodinâmica)
Órbita Lunar
1976
EgyptAir
Boeing 707
Aeroporto Internacional Don Mueang
1977
Menachem Begin
Anwar Al Sadat
1986
Voo Iraqi Airways 163
Boeing 737
Arar
Arábia Saudita
1989
Revolução Romena de 1989
Nicolae Ceaușescu
1991
Mikhail Gorbatchov
Dissolução da União Soviética
Referendo da Independência da Ucrânia em 1991
2003
Mars Express
2004
Sonda Cassini
Titã
2016
Tupolev Tu-154
Ensemble Alexandrov
Acidente com o Tupolev Tu-154 da Força Aérea Russa em 2016
2019
Tufão Phanfone
Filipinas
2021
Telescópio Espacial James Webb
"Margarida da Áustria, Rainha da Espanha"
Papa Pio VI
Adolf Otto Reinhold Windaus
Humphrey Bogart
Alexandra de Kent
Annie Lennox
Natália Guimarães
1250
1305
1281
Alice de Lacy
1348
1461
Cristina da Saxônia
1521
1505
Cristina da Saxónia
1549
1584
1611
1628
Noël Coypel
1707
1665
Grizel Baillie
1746
1700
Leopoldo II de Anhalt-Dessau
1751
1706
Maria Ana de Schwarzenberg
1755
1711
Jean-Joseph Cassanéa de Mondonville
1772
1717
1799
1753
Louis-Alexandre de Launay
1812
1761
William Justin Gregor
1817
1762
Michael Kelly
1826
1763
Claude Chappe
1805
1821
Clara Barton
1912
1866
Max Wien
1938
1872
Augusto Tavares de Lira
1958
1874
Lina Cavalieri
1944
1876
1959
1878
Louis Chevrolet
1879
Afonso Pena Júnior
1884
Evelyn Nesbit
1967
1886
Kid Ory
1973
1899
1957
Oscar Polk
1949
1901
"Alice, Duquesa de Gloucester"
1904
Gerhard Herzberg
1999
1906
Ernst Ruska
1988
1907
Cab Calloway
1994
1908
Quentin Crisp
Zora Arkus-Duntov
1996
Alziro Zarur
1979
1916
Luís Cristóvão dos Santos
1997
1918
1981
Ahmed Ben Bella
2012
1920
Artur Agostinho
2011
1924
Atal Bihari Vajpayee
2018
Rod Serling
1975
1925
Carlos Castaneda
1998
1927
Ram Narayan
Mabel King
1936
1943
Hanna Schygulla
Howard Twilley
Wilson Fittipaldi Júnior
Jairzinho
1945
Ken Stabler
2015
Noel Redding
Jimmy Buffett
Larry Csonka
1948
Joel Santana
Walter Breda
Simone
Sissy Spacek
1954
João Justino Amaral dos Santos
Manuel Luís Goucha
1956
Carlos Fernando Borja
Shane MacGowan
Cláudio Manoel
1961
Íngrid Betancourt
1964
Gary McAllister
Jason Thirsk
Helena Christensen
1969
Xande de Pilares
1970
Emmanuel Amunike
1971
Dido (cantora)
1972
Josh Freese
Sophie Heathcote
2006
Tuomas Holopainen
Armin van Buuren
Priya Rai
Laurent Bonnart
1980
Joanna Angel
Reika Hashimoto
1983
Noah Chivuta
1984
Chris Cahill
Manuel Antonio Cange
1992
Rachel Keller (atriz)
Tamsin Cook
2000
Luke Plapp
795
Papa Adriano I
700
775
1086
Judite da Boêmia
1056
1156
"Pedro, o Venerável"
