Espiritismo
Cronologia do espiritismo
Obras básicas do espiritismo
O Livro dos Espíritos
O Livro dos Médiuns
O Evangelho segundo o Espiritismo
O Céu e o Inferno (espiritismo)
A Gênese
Animismo (espiritismo)
Caridade
Deus
Espírito
Espiritualismo
Lei do progresso
Mediunidade
Perispírito
Plano espiritual
Projeção da consciência
Reencarnação
Sessão espírita
Arte espírita
Clariaudiência
Clarividência
Colônia espiritual
Ectoplasma
Encarnação
Espírito-guia
Materialização
Obsessão (espiritismo)
Passe espírita
Pintura mediúnica
Poltergeist
Precognição
Premonição
Psicofonia
Psicografia
Psicometria (parapsicologia)
Telecinesia
Telepatia
Tratamento espiritual
Umbral (espiritismo)
Allan Kardec
Albert de Rochas
Alexander Moreira-Almeida
Alexandre Aksakof
Alfred Russel Wallace
Amalia Domingo Soler
Aristides Spínola
Arthur Conan Doyle
Bezerra de Menezes
Cairbar Schutel
Camille Flammarion
Cesare Lombroso
Chico Xavier
Divaldo Franco
Elias da Silva
Ernesto Bozzano
Eurípedes Barsanulfo
Gabriel Delanne
Gustave Geley
Haroldo Dutra Dias
Hermínio C. Miranda
Hugh Dowding
Jésus Gonçalves
Léon Denis
Raul Teixeira
Oliver Lodge
Paul Gibier
Vera Kryzhanovskaia
Victorien Sardou
Victor Hugo
William Crookes
Yvonne Pereira
Zêus Wantuil
Centro espírita
Conselho Espírita Internacional
Federação Espírita Brasileira
Federação Espírita Portuguesa
Museu Nacional do Espiritismo
Estados Unidos
Irmãs Fox
1848
Europa
França
Mesas girantes
1855
Hippolyte Léon Denizard Rivail
Paris
1857
Brasil
Mesmerismo
Homeopatia
Benoît Jules Mure
Portugal
1840
José Bonifácio de Andrada e Silva
Mariano José Pereira da Fonseca
Marquês de Maricá
1844
Rio de Janeiro (cidade)
Império do Brasil
Alexandre José de Mello Moraes
Pedro de Araújo Lima
Marquês de Olinda
Bernardo José da Gama
Visconde de Goiana
José Cesário de Miranda Ribeiro
Visconde de Uberaba
Segundo Reinado
L'Illustration
1845
Mata de São João
Bahia
Divaldo Pereira Franco
1849
Igreja Católica
1853
Salvador (Bahia)
Rui Barbosa
Luís Olímpio Teles de Menezes
Diário da Bahia
26 de setembro
27 de setembro
1865
Teócrito
28 de setembro
Doutrina Espírita
17 de setembro
1866
São Paulo (cidade)
Pastoral
Arquidiocese de São Salvador da Bahia
Manuel Joaquim da Silveira
16 de junho
1867
1869
O Écho d'Alêm-Tumulo
1873
1874
Augusto Elias da Silva
Napoleão III de França
Década de 1860
1860
Língua portuguesa
1861
Democracia
Jornal do Commercio
23 de setembro
1863
Revue Spirite
Sociedade de Estudos Espiríticos - Grupo Confúcio
Passe
1875
Revista Espírita
Joaquim Carlos Travassos
1876
Francisco Leite de Bittencourt Sampaio
Jean-Baptiste Roustaing
1877
20 de maio
1878
8 de junho
1879
3 de outubro
1880
15 de julho
Reformador (revista)
1881
7 de junho
28 de agosto
O Cruzeiro
30 de agosto
Manuel Pinto de Souza Dantas
Antônio Pinheiro Guedes
6 de setembro
Pedro II do Brasil
10 de janeiro
1882
3 de setembro
Taquigrafia
Telegrafia
Psicopictografia
O Renovador
21 de janeiro
1883
27 de dezembro
1 de janeiro
1884
Imprensa
Livro
17 de agosto
1885
16 de agosto
1886
1887
1890
O Paiz
Domingo
23 de outubro
1893
1888
Goiás
Henry Slade
Proclamação da República do Brasil
Joaquim Saldanha Marinho
Quintino Bocaiuva
Machado de Assis
Manuel de Araújo Porto-Alegre
Castro Alves
Augusto dos Anjos
Município da Corte
Recife
Júlio César Leal
6 de julho
15 de novembro
1889
22 de dezembro
11 de outubro
Código Penal Brasileiro
Positivismo
Magia
Curandeirismo
Talismã
Cartomancia
Campos Sales
Deodoro da Fonseca
1891
18 de fevereiro
Revolta da Armada
Congresso Nacional do Brasil
Natal
1894
4 de abril
1896
3 de agosto
1895
1900
Aristides Spinola
1897
1904
15 de abril
1905
Medicina
10 de dezembro
1911
1 de maio
1912
Aurora
1919
Década de 1920
31 de março
1926
Jornal do Brasil
Coelho Neto
1923
Telefone
Doutrina espírita
Distrito Federal do Brasil (1891–1960)
Colégio Allan Kardec
Yvonne do Amaral Pereira
Batuíra (espírita)
26 de agosto
Pernambuco
8 de dezembro
Minas Gerais
União Espírita Mineira
Triângulo Mineiro
O Clarim
Suicídio
1927
Pedro Leopoldo
Francisco Cândido Xavier
1908
Primeira Guerra Mundial
Carmine Mirabelli
Federação Espírita do Estado da Bahia
25 de dezembro
1915
Matão
São Paulo (estado)
15 de fevereiro
1925
1929
Século XX
Movimento espírita
Niterói
Umbanda
Caboclo das Sete Encruzilhadas
Santos
1910
Luís José de Mattos Chaves Lavrador
Luís Alves Tomás
Psiquiatria
Sociólogo
Etnólogo
Roger Bastide
Preconceito
Etnocentrismo
Henrique Roxo
1921
Escravidão
Fetichismo
Cinema
Negros
Faculdade de Medicina da Universidade Federal do Rio de Janeiro
Patologia
Sífilis
Alcoolismo
Droga psicoativa
Ópio
Cocaína
Tuberculose
Lepra
Verminose
Antônio Xavier de Oliveira
1931
Emmanuel (espírito)
Leonídio Ribeiro
Parnaso de Além-Túmulo
1932
1933
1936
Radiodifusão
19 de agosto
Estado Novo (Brasil)
1937
27 de outubro
José Carlos de Macedo Soares
1938
"Brasil, Coração do Mundo, Pátria do Evangelho"
Humberto de Campos
Abolicionismo
1939
Francisco Peixoto Lins
Código Penal (Brasil)
1941
Templos afro-brasileiros
11 de junho
Segunda Guerra Mundial
1943
Monteiro Lobato
Tabuleiro ouija
1946
1947
Argentina
André Luiz (espírito)
Nosso Lar
1944
1934
Direito autoral
Cornélio Pires
1945
1948
Constituição brasileira de 1946
7 de setembro
9 de setembro
5 de outubro
1949
1950
Região Nordeste do Brasil
Empresa Brasileira de Correios e Telégrafos
Centenário (idade)
Década de 1950
Década de 1960
José Pedro de Freitas
Dr. Fritz
1958
Indulto
Juscelino Kubitschek
1964
Uberaba
Waldo Vieira
O Cruzeiro (revista)
Padre Quevedo
Parapsicologia
1953
Conferência Nacional dos Bispos do Brasil
1960
Carlos José Boaventura Kloppenburg
13 de dezembro
1963
1965
1968
Década de 1970
TV Tupi
Pinga-Fogo
28 de julho
21 de dezembro
1971
Rádio Rio de Janeiro
Rádio (comunicação)
1975
Telenovela
A Viagem (1975)
Joelma 23º Andar
1979
Clery Cunha
Beth Goulart
Somos Seis
Edifício Joelma
1 de fevereiro
1974
Juiz
Década de 1980
Prêmio Nobel da Paz
1981
1983
Elsie Dubugras
Edson Cavalcante Queiroz
1991
Brasília
1 de outubro
1989
José Raul Teixeira
Década de 1990
1992
Internet
Vera Lúcia Marinzeck
Reconciliação
1990
1993
Zíbia Gasparetto
Vencendo o Passado
2008
2001
2009
Marcelo Cezar
2010
Robson Pinheiro
1995
1999
Rubens Farias Jr.
Bezerra de Menezes - O Diário de um Espírito
Chico Xavier (filme)
Nelson Xavier
Ângelo Antônio
Nosso Lar (filme)
Wagner de Assis
Geraldo Sarno
Cristo Espera por Ti
As Mães de Chico Xavier
2011
Halder Gomes
Marcel Souto Maior
O Filme dos Espíritos
E a Vida Continua... (filme)
2012
Paulo Figueiredo
Censo brasileiro de 2010
Roustainguismo
Jesus Cristo
Zélio Fernandino de Moraes
Rio de Janeiro (estado)
Luís José de Matos
1914
1909
Ramatis
Espiritualismo universalista
Budismo
Hinduísmo
Apometria
José Lacerda de Azevedo
Conscienciologia
Projeciologia
2002
Wikimedia
Religiões no Brasil
América do Sul
21 de abril
1854
Magnetismo animal
1843
Wayback Machine
International Standard Serial Number
Digital object identifier
1862
International Standard Book Number
Drogas
Prostituição
Os Mensageiros
Missionários da Luz
Libertação
1954
1955
Ação e Reação
1957
