Setembro
Outubro
Novembro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
29 de setembro
30 de setembro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
1 de novembro
2 de novembro
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Implantação da República Portuguesa
Constituição brasileira de 1988
610
Heráclio
Focas
816
"Luís I, o Piedoso"
869
Quarto Concílio de Constantinopla (Católico Romano)
Fócio
1143
Zamora
Reino de Leão
Tratado de Zamora
Afonso VII de Leão e Castela
Independência de Portugal
1414
Concílio de Constança
Grande Cisma do Ocidente
1450
Luís IX da Baviera
1582
Bula pontifícia
Inter gravissimas
Gregório XIII
Filipe II de Espanha
1607
Paolo Sarpi
1768
Marquês de Pombal
Antissemitismo
Judeus
1789
Marcha sobre Versalhes
1821
Convenção de Beberibe
Guerra da Independência do Brasil
1897
Guerra de Canudos
Exército Brasileiro
Antônio Conselheiro
1900
Império Britânico
África do Sul
República Bóer do Orange
1905
Irmãos Wright
Wright Flyer III
1908
Independência da Bulgária
1910
1911
Kowloon-Canton Railway
1914
Primeira Guerra Mundial
Caça (aeronave)
1930
R101
1934
Revolução Espanhola
1936
Marcha de Jarrow
1938
Leis de Nuremberg
1942
Real (antiga moeda brasileira)
Cruzeiro (moeda)
Brasil
1943
Peso (moeda)
Paraguai
Guarani (moeda)
1944
Governo Provisório da República Francesa
1947
Harry S. Truman
Salão Oval
1962
James Bond (franquia)
Ian Fleming
Dr. No
Reino Unido
1966
Universidade Estadual de Campinas
1968
Associação dos Direitos Civis da Irlanda do Norte
1970
PBS
Crise de Outubro
1986
Mordechai Vanunu
The Sunday Times
1988
Amapá
Roraima
Tocantins
Goiás
Plebiscito nacional do Chile de 1988
Eleição presidencial no Chile em 1989
1991
Linus Torvalds
Linux
Jardim Botânico de Curitiba
2000
Queda do regime de Slobodan Milošević
2001
Mercadão de Madureira
Incêndio
2017
Tragédia de Janaúba
Janaúba
Minas Gerais
Heley de Abreu Silva Batista
2020
Banco Central do Brasil
Pix
2021
Microsoft
Windows 11
Denis Diderot
René Cassin
Tarcísio Meira
Václav Havel
Bob Geldof
Michael Andretti
Kate Winslet
1338
Aleixo III de Trebizonda
1390
1377
"Luís II, Duque de Anjou"
1417
1422
Catarina de Castela
1424
1520
Alessandro Farnese (cardeal)
1589
1640
Francisca Atenas de Rochechouart
1707
1658
Maria de Módena
1718
1712
Francesco Guardi
1793
1713
1784
1715
Victor Riqueti de Mirabeau
1728
Chevalier d’Éon
1810
1743
Giuseppe Gazzaniga
1818
1778
Jacques-Joseph Champollion
1867
1829
Chester A. Arthur
1886
1848
Guido von List
1919
1879
Francis Peyton Rous
1882
Robert Hutchings Goddard
1945
1885
Ida Rubinstein
1960
1887
1976
1895
Svea Norén
1985
1898
Ewald Balser
1978
1902
Larry Fine
1975
Ray Kroc
1984
John Hoyt
Óscar Bonfiglio
1987
1906
Cyro dos Anjos
1994
1907
Jean Louis
1997
Joshua Logan
Nathan Jacobson
1999
Brian O'Nolan
1917
Magda Szabó
2007
Donald Pleasence
1995
Boris Shcherbina
1990
1920
Clara Schroth-Lomady
2014
1922
José Froilán González
2013
Jock Stein
1923
Glynis Johns
1924
Bob Thaves
2006
José Donoso
1996
1925
Antoine Gizenga
2019
1928
Linneu Dias
2002
Louise Fitzhug
1974
Marjorie Finlay
2003
Reinhard Selten
2016
Luciano Pedro Mendes de Almeida
Pavel Popovich
2009
1932
Michael John Rogers
1933
Carmen Salinas
Diane Cilento
2011
1935
Laurent Robuschi
Moacyr Franco
1939
José de Assis Aragão
A. R. Penck
1941
Eduardo Duhalde
Adam Hochschild
Steve Miller
Ivan Davidov
2015
Brian Connolly
1946
Thomson Allan
Brian Johnson
Michèle Pierre-Louis
1948
Joseph Bruyère
Delroy Wilson
1949
Peter Ackroyd
Malika Mokeddem
1950
Eddie Clarke
2018
Stella Miranda
Laura Gemser
Alexandre Vannucchi Leme
1973
1951
Karen Allen
Willie Donachie
1952
Emomali Rahmonov
Clive Barker
Harold Faltermeyer
Imran Khan
1953
Gabriele Gravina
1954
João Lagarto
1955
Tate Armstrong
Ángela Molina
1956
Ron Nyswaner
1957
Bernie Mac
2008
Badalhoca
1958
André Kuipers
Neil deGrasse Tyson
"Valburga, Condessa Douglas"
Antonio Di Gennaro
Luiz Schiavon
2023
1959
Paulo Borges (escritor)
Careca (futebolista)
Daniel Baldwin
1961
Claudia Kristofics-Binder
Mark Phillips (político)
Alfredo da Silva Castro
Juvenal Olmos
1963
Amazan
Patrícia Aires
1964
Seiko Hashimoto
