Março
Fé bahá'í
1964
Transit (satélite)
Plutónio
Gerador termoelétrico de radioisótopos
1965
Feira Mundial de Nova Iorque de 1964-65
1967
Ditadura dos coronéis
George Papadopoulos
Golpe de Estado
1972
Sesquicentenário da Independência do Brasil
Governo Emílio Médici
1975
Guerra do Vietnã
Vietname do Sul
Nguyễn Văn Thiệu
Cidade de Ho Chi Minh
Xuan Loc
Vietname do Norte
1977
Annie (musical)
Broadway
Nova Iorque
Estados Unidos
1985
Morte de Tancredo Neves
Golpe militar de 1964
1989
Protesto na Praça da Paz Celestial em 1989
Praça da Paz Celestial
Hu Yaobang
1992
Exoplaneta
Aleksander Wolszczan
Pulsar
Lich (estrela)
1993
Plebiscito de 1993
Republicano
Presidencialismo
La Paz
Bolívia
Luis García Meza Tejada
2009
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Biblioteca do Congresso
World Digital Library
2010
Carcóvia
Pacto de Kharkiv de 2010
Víktor Yanukóvytch
Dmitri Medvedev
2011
Síria
Estado de emergência
Guerra Civil Síria
2014
Flint (Michigan)
Rio Flint
Crise aquífera de Flint
Saturnismo
Doença dos legionários
2019
Atentados de 21 de abril de 2019 no Sri Lanka
Sri Lanka
Isabel II do Reino Unido
Sidney Sampaio
Paloma Bernardi
Zé Felipe
1488
Ulrich von Hutten
1523
1555
Ludovico Carracci
1619
1673
Guilhermina Amália de Brunsvique-Luneburgo
1742
1712
Albertina de Brandemburgo-Schwedt
1750
1816
Charlotte Brontë
1855
1828
Hippolyte Taine
1893
1829
"Anne Sutherland-Leveson-Gower, Duquesa de Sutherland"
1888
1851
Sílvio Romero
1864
Max Weber
1889
Piero Calamandrei
1956
1912
Marcel Camus
1982
1915
Anthony Quinn
2001
Anselmo Duarte
1921
Aldir Passarinho
1926
2022
1930
Hilda Hilst
2004
Mário Covas
1935
Charles Grodin
2021
1942
Wilson Silva
1974
1945
Ana Lúcia Torre
1947
Iggy Pop
1950
Marília Barbosa
1951
Kim Young-ae
2017
1955
Toninho Cerezo
1957
Jorge Luís Andrade da Silva
1958
Andie MacDowell
Dale Mitchell
1959
Robert Smith
1961
Carlos Gaguim
Alex Baumann
Anna Muylaert
Thomas Helmer
Wagner Dias Bastos
1969
Toby Stephens
1970
Filipe Manuel Esteves Ramos
Gwendal Peizerat
Ian Kahn
Rogério Pinheiro
Vidar Riseth
1973
Bárbara Guimarães
Abdelilah Saber
1978
Jukka Nevalainen
Ricardo Ribeiro Fernandes
1979
Tobias Linderoth
1980
Alex Ferrari
1983
Marco Donadel
Paweł Brożek
1986
João Guilherme Leme Amorim
Sidnei dos Santos Reis Mariano
1987
Tchô
Nílton Ferreira Júnior
Pietro Gandolfi
Deng Linlin
1998
234
Xiandi
181
303
Alexandra de Roma
586
Leovigildo
866
Bardas
941
Bajecã
1073
Papa Alexandre II
1015
1109
Anselmo de Cantuária
1033
1142
Pedro Abelardo
1079
1216
"Ida, Condessa de Bolonha"
1160
1161
1421
"John FitzAlan, 13.º Conde de Arundel"
1385
1457
1552
Petrus Apianus
1495
1574
"Cosme I de Médici, Grão-Duque da Toscana"
1519
1577
Diogo Rodrigues
1500
1699
Jean Racine
1639
1718
Philippe de La Hire
1640
1722
Robert Beverley
1731
Daniel Defoe
1660
1736
Eugénio de Saboia
1663
1746
1825
Johann Friedrich Pfaff
1765
1900
Alphonse Milne-Edwards
1835
1902
Sousândrade
1833
1910
Mark Twain
1892
1924
Eleonora Duse
1858
1932
Friedrich Gustav Piffl
1938
Muhammad Iqbal
1877
1941
Fritz Manteuffel
1875
Walter Model
1891
1946
John Maynard Keynes
1883
Aldo Leopold
1887
1954
Emil Post
1897
Edward Appleton
1971
François Duvalier
1907
Ranieri Mazzilli
Sandy Denny
Aleksandr Oparin
Sohrab Sepehri
1928
1984
Marcel Janco
1895
Tancredo Neves
Rudi Gernreich
1922
Marjorie Eaton
1901
James Kirkwood Jr.
1991
Willi Boskovsky
1909
1994
Walter Pinto
1913
1996
Zora Arkus-Duntov
Djokhar Dudaiev
1944
1997
Andrés Rodríguez
1923
Diosdado Macapagal
Luís Eduardo Magalhães
Jean-François Lyotard
2003
Nina Simone
1933
2006
Telê Santana
1931
2008
Carmem Silva (atriz)
1916
Vivian Maier
Juan Antonio Samaranch
Catharina Halkes
2012
Charles Colson
2013
Chrissy Amphlett
Shakuntala Devi
1929
Leopold Engleitner
1905
George Heilmeier
1936
2015
John Moshoeu
2016
Prince
Ugo Ehiogu
2018
Waldyr Sant'anna
Verne Troyer
Polly Higgins
1968
Ken Kercheval
Roma
Itália
Criatividade
Inovação
Tiradentes (feriado nacional)
Polícias civis do Brasil
Polícia militar
Distrito Federal
Lins
Itapema
Bofete
Palmital (São Paulo)
Anastácio Sinaíta
Beuno
Conrado de Parzham
Calendário romano
Calendas
Rómulo
Parília
Monte Palatino
Calendário litúrgico
Letra dominical
Semana
Epacta
Mês
Dia
20 de dezembro
Janeiro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
Fevereiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
1 de março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
Agosto
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
Setembro
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
Outubro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
Novembro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
Dezembro
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
19 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
