Língua gronelandesa
Campeonato Mundial de Handebol de 2007
Jogos das Ilhas
Jogos de Inverno do Ártico
Iqaluit
Wikimedia
Lista de territórios dependentes
Lista de Estados soberanos e territórios dependentes da América
Recuo dos glaciares desde 1850
Ir para cima
United Nations Environment Programme
Wayback Machine
Den Store Danske Encyklopædi
Store norske leksikon
International Standard Book Number
The Independent
América
Países da América
Antígua e Barbuda
Argentina
Bahamas
Barbados
Belize
Bolívia
Brasil
Chile
Colômbia
Costa Rica
Cuba
Dominica
El Salvador
Equador
Granada (país)
Guatemala
Guiana
Haiti
Honduras
Jamaica
México
Nicarágua
Panamá
Paraguai
Peru
República Dominicana
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Suriname
Trindade e Tobago
Uruguai
Venezuela
Lista de países da América
Anguila
Aruba
Bermudas
Curaçau
Groenlândia
Guadalupe
Guiana Francesa
Ilhas Caimão
Ilhas Geórgia do Sul e Sanduíche do Sul
Ilhas Malvinas
Ilhas Virgens Britânicas
Ilhas Virgens dos Estados Unidos
Martinica
Monserrate (ilha)
Países Baixos Caribenhos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Porto Rico
São Bartolomeu (coletividade)
São Martinho (França)
São Martinho (Países Baixos)
São Pedro e Miquelão
Turcas e Caicos
Territórios especiais da União Europeia
Espanha
Ilha de Alborão
Ilhote de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilha de Perejil
Ilhote de Vélez de la Gomera
França
Ilha de Clipperton
Maiote
Nova Caledónia
Polinésia Francesa
Ilhas Marquesas
Tuamotu
Ilhas da Sociedade
Reunião (departamento)
Terras Austrais e Antárticas Francesas
Amesterdão (ilha)
Bassas da Índia
Ilhas Crozet
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilhas Kerguelen
Ilha de São Paulo (França)
Terra Adélia
Ilha Tromelin
Wallis e Futuna
Itália
Ilha de Pantelária
Ilhas Pelágias
Ilha de Lampedusa
Ilha de Linosa
Ilha de Lampione
Países Baixos
Portugal
Açores
Ilha de São Miguel
Ilha Terceira
Ilha do Faial
Ilha do Pico
Ilha de São Jorge
Ilha de Santa Maria
Graciosa
Ilha das Flores (Açores)
Ilha do Corvo
Ilhéus das Formigas
Região Autónoma da Madeira
Ilhas Desertas
Ilha da Madeira
Ilha de Porto Santo
Ilhas Selvagens
Comunidade Económica Europeia
1973
1982
Lista de exploradores polares
Norte longínquo
Polo norte
Willem Barentsz
Henry Hudson
Thomas Marmaduke
Joris Carolus
William Edward Parry
Polo norte magnético
John Ross (explorador)
James Clark Ross
Elisha Kent Kane
Isaac Israel Hayes
Expedição Polaris
USS Periwinkle (1864)
Charles Francis Hall
Expedição Ártica Britânica
HMS Alert (1856)
George Strong Nares
HMS Discovery (1874)
Henry Frederick Stephenson
Expedição da Baía de Lady Franklin
Adolphus Greely
Expedição Fram
Fram (navio)
Fridtjof Nansen
Fredrik Hjalmar Johansen
Otto Sverdrup
Jason (navio)
Luís Amadeu de Saboia
Frederick Cook
Richard Evelyn Byrd
Norge (dirigível)
Roald Amundsen
Umberto Nobile
Oscar Wisting
Hjalmar Riiser-Larsen
Lincoln Ellsworth
Italia (dirigível)
Hubert Wilkins
Valery Chkalov
Alexander Vasilyevich Belyakov
Pyotr Shirshov
USS Nautilus (SSN-571)
Ralph Plaisted
Wally Herbert
Arktika (quebra-gelo)
Barneo
Pytheas
São Brandão
Papar
Expansões vikings
Naddodd
Gardar Svavarsson
Ingólfur Arnarson
Colonização viquingue da América
Gunnbjörn Ulfsson
"Érico, o Vermelho"
Expedições de Cristiano IV à Groenlândia
James Hall (explorador)
Colonização dinamarquesa da América
Hans Egede
Knud Rasmussen
Jørgen Brønlund
Norte do Canadá
John Cabot
Gaspar Corte-Real
Miguel Corte-Real
Martin Frobisher
John Davis (explorador)
Discovery (navio de 1602)
William Baffin
Ivan Fedorov (navegador)
Mikhail Gvozdev
HMS Resolution (1771)
James Cook
HMS Discovery (1774)
Alexander Mackenzie (explorador)
Otto von Kotzebue
Francis Crozier
John Franklin
Frederick William Beechey
Expedição perdida de Franklin
HMS Erebus (1826)
HMS Terror (1813)
John Rae (explorador)
John Richardson (naturalista)
Robert McClure
Edward Belcher
Francis Leopold McClintock
USS Jeannette (1878)
Gjøa
Passagem do Nordeste
Pomors
Cossacos siberianos
Ilya Perfilyev
Semyon Dezhnyov
Fedot Alekseyev Popov
Yakov Permyakov
Grande Expedição do Norte
Vitus Bering
Aleksei Chirikov
Stepan Malygin
Dmitry Ovtsyn
Fyodor Minin
Maria Pronchishcheva
Semion Chelyuskin
Dmitry Laptev
Vasily Chichagov
Yakov Sannikov
Matvei Gedenschtrom
Ferdinand von Wrangel
Fyodor Matyushkin
Fyodor Litke
Pyotr Pakhtusov
Avgust Tsivolko
Alexander von Middendorff
Expedição austro-húngara ao Polo Norte
Karl Weyprecht
Julius von Payer
Adolf Erik Nordenskiöld
Louis Palander
George Washington De Long
Quebra-gelo
Yermak (quebra-gelo)
Stepan Makarov
Aleksandr Kolchak
Boris Vilkitsky
Maud (navio)
Otto Schmidt
Aviaarktika
SS Chelyuskin
Krasin (1916)
Quebra-gelo nuclear
Lenin (Quebra-gelo nuclear)
Quebra-gelo da classe Arktika
Antártico
Oceano Antártico
Anthony de la Roché
Jean-Baptiste Charles Bouvet de Lozier
HMS Adventure (1771)
San Telmo (navio)
Fabian Gottlieb von Bellingshausen
Mihail Petrovich Lazarev
Edward Bransfield
Nathaniel Palmer
James Weddell
Benjamin Morrell
Jules Dumont d'Urville
Expedição de Exploração dos Estados Unidos
Charles Wilkes
Expedição Challenger
HMS Challenger (1858)
George Nares
John Murray
Carl Anton Larsen
Idade Heroica da Exploração da Antártida
Expedição Antártica Belga
RV Belgica
Adrien de Gerlache
Henryk Arctowski
Expedição Southern Cross
SS Southern Cross (1886)
Carsten Borchgrevink
Expedição Discovery
RRS Discovery
Expedição Gauss
Erich von Drygalski
Otto Nordenskjöld
Expedição Nacional Antártica Escocesa
William Speirs Bruce
Base Orcadas
Expedição Nimrod
Nimrod (navio)
Jean-Baptiste Charcot
Expedição Antártica Japonesa
Nobu Shirase
Expedição de Amundsen ao Polo Sul
Expedição Terra Nova
Terra Nova (navio)
Robert Falcon Scott
Edward Adrian Wilson
Edward Evans
Tom Crean
William Lashly
Wilhelm Filchner
Expedição Antártica Australasiática
SY Aurora
Douglas Mawson
Grupo do Extremo Leste
Expedição Transantártica Imperial
Endurance (navio)
Ernest Shackleton
Frank Wild
Viagem do James Caird
Grupo do Mar de Ross
Aeneas Mackintosh
Expedição Shackleton–Rowett
Quest (navio)
Ano Polar Internacional
Ano Geofísico Internacional
Lista de estações de pesquisas na Antártida
Lars Christensen
Nova Suábia
James William Slessor Marr
Operação Highjump
Base Capitão Arturo Prat
British Antarctic Survey
Finn Ronne
Edith Ronne
Estação McMurdo
Expedição Transantártica da Commonwealth
Edmund Hillary
Vivian Fuchs
Mikhail Somov
Estação Mirny
Yevgeny Tolstikov
Tratado da Antártida
Ranulph Fiennes
Lago Vostok
Estação Antártica Comandante Ferraz
Sul longínquo
Polo sul
Michael Barne
Eric Marshall
Jameson Adams
Polo sul magnético
Edgeworth David
Olav Bjaaland
Helmer Hanssen
Sverre Hassel
Edgar Evans
Lawrence Oates
Henry Robertson Bowers
Estação Polo Sul Amundsen-Scott
Polo do frio
Estação Vostok
Polo de inacessibilidade
Reinhold Messner
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Consortium of European Research Libraries
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Grécia
Sistema Universitário de Documentação
Enciclopédia Treccani
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
