Platina
Actinídeo
Metal pós-transição
Semimetal
Não metal
Commodity
Açúcar
Algodão
Arroz
Aveia
Azeite
Azeite de dendê
Batata
Borracha natural
Café
Centeio
Cevada
Chá
Colza
Grão de cacau
Linhaça
Milho
Óleo de algodão
Óleo de amendoim
Óleo de soja
Suco de laranja
Soja
Trigo
Almíscar
Âmbar cinza
Banha
Cabra
Casimira
Cavalo
Bos taurus
Lã
Leite
Manteiga
Marfim
Osso
Ovelha
Pena
Pele
Porifera
Sebo (culinária)
Seda
Carvão
Petróleo
Etanol
Gás natural
Propano
Aço
Liga de alumínio
Contrato de futuros
Comoditização
Mercantilização do útero
Valor (economia)
Valor de troca
Preço
Valor de uso
Utilidade (economia)
