Cine Brasília
A Hora da Estrela (filme)
Suzana Amaral
A Cor do seu Destino
Jorge Durán
Anjos da Noite
Wilson Barros
Memória Viva
O Mentiroso
Werner Schunemann
Que Bom Te Ver Viva
Lúcia Murat
Beijo 2348/72
Walter Rogério
O Corpo (1991)
José Antônio Garcia
A Maldição do Sanpaku
José Joffily
Alma Corsária
Carlos Reichenbach
O Judeu
Baile Perfumado
Paulo Caldas
Lírio Ferreira
Anahy de las Misiones
Sérgio Silva
Amor & Cia
Helvécio Ratton
Santo Forte
Eduardo Coutinho
Bicho de Sete Cabeças
Laís Bodanzky
Lavoura Arcaica
Luiz Fernando Carvalho
Amarelo Manga
Cláudio Assis
Filme de Amor (filme)
Peões
Eu Me Lembro
Edgard Navarro
Baixio das Bestas
Cleópatra (2007)
É Proibido Fumar (filme)
Anna Muylaert
Hoje (filme)
Tata Amaral
Eles Voltam
Marcelo Lordello
Marcelo Gomes
Otto (cantor)
Cao Guimarães
Paula Gaitán
Tiago Campos
"Branco Sai, Preto Fica"
Adirley Queirós
Big Jato
Marilia Rocha
Arábia (filme)
Temporada
André Novais Oliveira
A febre
Maya Da-Rin
A Invenção do Outro
Candango de Melhor Atriz
Candango de Melhor Ator
Ir para cima
G1
Festival Internacional de Cinema de Alexandria
Festival de Berlim
Festival Biarritz Amérique Latine
Festival Internacional de Cinema do Brasil
Festival Internacional de Cinema de Cartagena
Cine PE
Festival de Cinema Latino-Americano de Toulouse
Cinefantasy
Festival de Cinema de Países de Língua Portuguesa
Cineserra – Festival do Audiovisual da Serra Gaúcha
CRASH – Mostra Internacional de Cinema Fantástico
Festival Internacional de Cinema em Super 8 de Curitiba
Festival Curta Cinema
Curta Taquary
Festival de Cinema Fantástico de Porto Alegre
Festival Brasil de Cinema Internacional
Festival de Cinema Italiano
Festival Ecrã
Festival Internacional de Cinema Infantil
Festival de Cinema de Gante
Festival de Havana
Festival Internacional de Cinema de Karlovy Vary
Festival Internacional de Curtas-Metragens de Kiev
Los Angeles Brazilian Film Festival
Festival Internacional de Cinema de Locarno
Festival de Cinema de Londres
Mostra MacaBRo
Festival Internacional de Cinema de Miami
Festival Mix Brasil de Cultura da Diversidade
Molodist - Festival Internacional de Cinema de Kiev
Festival de Cinema de Munique
My French Film Festival
Amandaprisen
Festival de Cinema do Paraná
Festival Santa Cruz de Cinema
Santa Maria Vídeo e Cinema
Festival Internacional de Curtas-Metragens de Upsala
Festival Varilux de Cinema Francês
Festival de Cinema de Vassouras
Festival de Cinema de Vitória
Watersprite Film Festival
WorldFest-Houston International Film Festival
